Date,Anonymized ID,Birthday,Age,Age Group,Gender,Household Adults,Household Children,Caregiver Relationship,Caregiver Education,Maternal Education,Caregiver #1 Relationship,Caregiver #1 Gender,Caregiver #1 Hours with Child,Caregiver #1 Languages,Caregiver #2 Relationship,Caregiver #2 Gender,Caregiver #2 Hours with Child,Caregiver #2 Languages,Caregiver #3 Relationship,Caregiver #3 Gender,Caregiver #3 Hours with Child,Caregiver #3 Languages,Caregiver #4 Relationship,Caregiver #4 Gender,Caregiver #4 Hours with Child,Caregiver #4 Languages,Picture Freq,Play Freq,Talk Freq,Draw Freq,Other Draw Freq,Other Draw Materials,Picture Books?,Picture Book Number,Drawing Materials?,Drawing Number,Posters?,Poster Number,TVs?,TV Number,Toys?,Toy Number,Attend school/daycare?,Years in school/daycare
8/26/2024,1,5/21/2020,4.268493151,4,F,3,3,Mother,5,5,Mother,F,4,"90% Swahili, 10% Luo",Nanny,F,4,"90% Swahili, 10% Luo",Father,M,2,100% Swahili,,,,,3,3,4,4,3,bottle cap,1,1,1,3,1,2,1,1,1,3,1,1
8/27/2024,2,12/23/2019,4.682191781,4,M,2,4,Mother,5,5,Father,M,3,"70% Swahili, 20% English, 10% Luo",Mother,F,6,"70% Swahili, 20% English, 10% Luo",,,,,,,,,2,4,4,5,2,stick,1,1,1,8,0,0,1,1,1,2,1,1
8/28/2024,3,11/20/2019,4.775342466,4,F,2,4,Mother,1,1,Mother,F,4,100% Swahili,Father,M,1,100% Swahili,,,,,,,,,5,4,4,5,2,"charcoal, chalk",1,3,1,3,1,3,1,1,1,30,1,2
8/28/2024,4,5/19/2020,4.279452055,4,M,1,4,Mother,4,4,Mother,F,7,"80% Swahili, 20% Luo",Grandmother,F,5,"60% Swahili, 40% Luo",Grandfather,M,5,"60% Swahili, 40% Luo",,,,,4,2,4,4,1,none,1,3,1,3,1,2,0,0,1,4,1,2
8/28/2024,5,6/14/2020,4.208219178,4,F,3,3,Mother,1,1,Mother,F,3,"80% Swahili, 20% Luo",Father,M,5,100% Swahili,,,,,,,,,5,4,5,4,1,none,1,8,1,16,1,4,1,2,1,4,1,2
8/28/2024,6,5/25/2020,4.263013699,4,F,3,3,Mother,3,3,Mother,F,6,"80% Swahili, 20% Luo",Father,M,1,"80% Swahili, 20% Luo",,,,,,,,,4,2,5,4,1,none,1,3,1,13,1,1,1,1,1,1,1,2
8/28/2024,7,11/16/2019,4.78630137,4,F,3,4,Uncle,3,3,Mother,F,4,"60% Swahili, 40% Luo",Grandmother,F,6,"70% Luo, 30% Swahili",,,,,,,,,4,4,3,2,3,"stick, charcoal, fingers",1,3,1,2,1,2,1,1,1,1,1,3
8/28/2024,8,4/8/2020,4.391780822,4,M,2,2,Mother,3,3,Mother,F,4,"80% Swahili, 20% Luo",Father,M,3,"80% Swahili, 20% Luo",,,,,,,,,2,5,5,5,1,none,1,2,1,12,1,1,1,1,1,5,1,1
8/28/2024,9,4/8/2020,4.391780822,4,M,4,3,Aunt,3,3,Mother,F,2,"80% Swahili, 20% Luo",Aunt,F,8,"50% Swahili, 50% Luo",Father,M,2,"80% Swahili, 20% Luo",,,,,5,5,5,2,1,none,1,3,1,4,1,2,1,1,1,2,1,2
8/28/2024,10,10/29/2019,4.835616438,4,M,4,2,Mother,1,1,Mother,F,5,"80% Swahili, 20% Luo",Father,M,3,"90% Swahili, 10% Luo",Sister,F,8,"90% Swahili, 10% Luo",,,,,3,3,3,4,2,"stick, charcoal",1,2,1,12,1,2,1,1,1,3,1,1
8/28/2024,11,8/13/2020,4.043835616,4,M,3,4,Mother,3,3,Mother,F,9,100% Swahili,Aunt,F,9,100% Swahili,Father,M,4,100% Swahili,,,,,4,4,4,2,4,toy laptop,1,1,1,3,1,2,1,1,1,6,0,0
8/28/2024,12,11/12/2019,4.797260274,4,F,2,3,Mother,1,1,Mother,F,3,"80% Swahili, 20% Luo",Father,M,1,"80% Swahili, 20% Luo",,,,,,,,,4,5,5,5,2,"chalk, charcoal, bricks, dry paint",1,4,1,8,0,0,1,1,1,10,1,3
8/28/2024,13,7/4/2020,4.153424658,4,M,4,3,Mother,1,1,Mother,F,5,"80% Swahili, 20% Luo",Father,M,2,"75% Swahili, 25% Luo",Sister,F,4,"60% Swahili, 25% Luo, 15% English",,,,,2,2,5,2,3,"stick, charcoal, chalk",1,1,1,2,1,1,1,1,1,3,1,1
8/28/2024,14,3/16/2020,4.454794521,4,F,3,5,Grandmother,1,5,Grandmother,F,4,100% Swahili,Mother,F,5,"75% Swahili, 25% Luo",Aunt,F,4,100% Swahili,,,,,3,4,5,4,1,none,1,4,1,28,1,3,0,0,1,16,1,1
8/28/2024,15,1/19/2020,4.610958904,4,M,3,8,Mother,1,1,Mother,F,4,"75% Swahili, 25% Luo",Sister,F,4,100% Swahili,,,,,,,,,4,4,5,4,1,none,1,4,1,16,1,3,0,0,1,16,1,1
8/28/2024,16,8/20/2020,4.024657534,4,M,6,1,Mother,5,5,Mother,F,6,"80% Swahili, 20% Luo",Aunt,F,3,100% Swahili,Uncle,M,3,100% Swahili,,,,,4,4,4,3,3,"stick, charcoal, chalk",0,0,1,10,1,4,1,1,1,2,1,1
8/28/2024,17,9/1/2019,4.994520548,4,M,2,5,Mother,3,3,Mother,F,4,"80% English, 20% Swahili",Father,M,4,"80% English, 20% Swahili",Uncle,M,4,"60% Swahili, 40% English",,,,,4,5,5,4,1,none,1,8,1,13,1,7,1,3,1,20,1,3
8/28/2024,18,3/21/2020,4.44109589,4,F,3,2,Mother,5,5,Mother,F,4,"70% Swahili, 20% English, 10% Luo",Father,M,2,"70% Swahili, 20% English, 10% Luo",,,,,,,,,4,2,4,4,2,"stick, charcoal, chalk",1,5,1,20,1,4,1,1,1,6,1,2
8/28/2024,19,5/15/2020,4.290410959,4,M,4,1,Uncle,3,3,Mother,F,6,"70% Swahili, 30% Luo",Aunt,F,3,100% Swahili,Uncle,M,4,100% Swahili,,,,,5,5,3,3,2,"stick, charcoal",1,2,1,2,0,0,1,1,0,0,1,1
