Run,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
2,689b8d5bdcb97a885e6cb0e6,6792b64b06ab0ed6eda4a101,APPROVED,Not Applicable,2025-08-12T18:52:15.395000Z,2025-08-12T18:57:10.956000Z,2025-08-13T04:05:57.385000Z,2025-08-12T18:57:11.320262Z,296,CM8R3288,518,English,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,689b90ea3f2655a1474ba7f1,608437f0b139060610c9f0c1,APPROVED,Not Applicable,2025-08-12T19:07:42.097000Z,2025-08-12T19:12:35.757000Z,2025-08-13T04:05:57.622000Z,2025-08-12T19:12:36.173597Z,294,CM8R3288,6251,English,83,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,689b922df403b09b2cf7b007,63f6ac6d4ce41fa2a87ea79b,APPROVED,Not Applicable,2025-08-12T19:12:51.636000Z,2025-08-12T19:16:36.862000Z,2025-08-13T04:05:57.857000Z,2025-08-12T19:16:37.370877Z,226,CM8R3288,961,English,52,Female,White,United States,United States,United States,English,No,Full-Time
2,689b953f46b208ac2c41e53f,55bd8669fdf99b5bfc7d4cfc,APPROVED,Not Applicable,2025-08-12T19:25:55.454000Z,2025-08-12T19:33:47.586000Z,2025-08-12T19:33:49.195000Z,2025-08-12T19:33:49.070698Z,473,CM8R3288,9676,English,31,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,689b99892986b13de4ce1756,66a17211973d4b5f6f0a0b38,APPROVED,Not Applicable,2025-08-12T19:44:16.480000Z,2025-08-12T19:53:07.256000Z,2025-08-12T19:53:10.588000Z,2025-08-12T19:53:07.677474Z,531,CM8R3288,684,English,34,Male,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
2,689b9c99bd248af036c936c4,655f97cd4f1c17ae262fd0fa,APPROVED,Not Applicable,2025-08-12T19:58:56.424000Z,2025-08-12T20:04:51.906000Z,2025-08-12T20:04:55.394000Z,2025-08-12T20:04:52.376227Z,356,CM8R3288,4361,"English, Other",31,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,689b9fe28b30e5e966554976,5b3e2334cdb4ce0001d93c51,APPROVED,Not Applicable,2025-08-12T20:12:08.269000Z,2025-08-12T20:17:50.076000Z,2025-08-12T20:17:50.947000Z,2025-08-12T20:17:50.451707Z,342,CM8R3288,8079,English,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,689ba183a649ae6db34e0b10,6272b9dfc470a51d5fa0e6ea,APPROVED,Not Applicable,2025-08-12T20:25:15.717000Z,2025-08-12T20:31:29.589000Z,2025-08-12T20:31:31.582000Z,2025-08-12T20:31:30.034101Z,374,CM8R3288,6751,English,43,Male,Asian,Korea,United States,United States,English,DATA_EXPIRED,Full-Time
2,689ba4ab1fbaaddbef76908b,5c91fc9c183fb70012f3510a,APPROVED,Not Applicable,2025-08-12T20:31:46.893000Z,2025-08-12T20:35:52.466000Z,2025-08-13T04:05:58.102000Z,2025-08-12T20:35:52.878064Z,246,CM8R3288,6032,English,54,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
2,689ba8feb5f739265fb91e72,60ccbffae161aadb1880ad6c,APPROVED,Not Applicable,2025-08-12T20:50:10.988000Z,2025-08-12T20:57:13.232000Z,2025-08-12T20:57:16.560000Z,2025-08-12T20:57:13.675907Z,423,CM8R3288,9955,English,36,Female,White,United States,United States,United States,English,No,Full-Time
2,689baabf522a65f9916902cf,63034df51d918e1e3b97e5ce,APPROVED,Not Applicable,2025-08-12T20:57:39.335000Z,2025-08-12T21:04:25.089000Z,2025-08-12T21:04:25.698000Z,2025-08-12T21:04:25.567835Z,406,CM8R3288,1658,English,23,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,689bacd6de6e5deafe2f9d7e,601e13b872774f263d64acac,APPROVED,Not Applicable,2025-08-12T21:06:33.456000Z,2025-08-12T21:10:32.999000Z,2025-08-13T04:05:58.316000Z,2025-08-12T21:10:33.500856Z,240,CM8R3288,5737,English,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,689badea93269c2a2d5061bc,60ca4cfb5c287146cad0695a,APPROVED,Not Applicable,2025-08-12T21:11:14.770000Z,2025-08-12T21:17:42.384000Z,2025-08-12T21:17:42.988000Z,2025-08-12T21:17:42.813985Z,388,CM8R3288,9822,English,41,Male,White,United States,United States,United States,English,No,Full-Time
2,689bb01cb1407741d29976eb,5f8cbc5c355ea745e6cef2ca,APPROVED,Not Applicable,2025-08-12T21:20:44.687000Z,2025-08-12T21:24:29.749000Z,2025-08-13T04:05:58.544000Z,2025-08-12T21:24:30.246168Z,226,CM8R3288,6986,"English, Spanish, French",41,Female,White,Mexico,United States,United States,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2,689bb3e54a8950ba1a69ff98,58d4c4c287b2420001263b6a,APPROVED,Not Applicable,2025-08-12T21:36:47.304000Z,2025-08-12T21:42:43.423000Z,2025-08-12T21:42:43.992000Z,2025-08-12T21:42:43.860899Z,357,CM8R3288,5137,English,58,Female,Mixed,United States,United States,United States,English,No,Other
2,689bb55ed54b4799570954af,66c09873c30bdebfa67284d8,APPROVED,Not Applicable,2025-08-12T21:43:00.148000Z,2025-08-12T21:46:05.519000Z,2025-08-13T04:05:58.781000Z,2025-08-12T21:46:06.012643Z,186,CM8R3288,813,"English, German",34,Female,White,United States,United States,United States,German,DATA_EXPIRED,Full-Time
2,689bb9bd6fac401e4f643232,66d4712f340d9f18e186d041,APPROVED,Not Applicable,2025-08-12T22:01:33.822000Z,2025-08-12T22:06:04.153000Z,2025-08-13T04:05:59.003000Z,2025-08-12T22:06:04.605191Z,271,CM8R3288,2599,English,47,Male,White,United States,United States,United States,English,Yes,Full-Time
2,689bbc88591e57990f44cb23,5b0b8252e9270900013ba88f,APPROVED,Not Applicable,2025-08-12T22:14:07.724000Z,2025-08-12T22:22:36.873000Z,2025-08-12T22:22:40.003000Z,2025-08-12T22:22:37.279246Z,510,CM8R3288,2427,English,55,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,689bbf6a6c7df5ce7c9417f7,6143af8721d1445864c4f6c8,APPROVED,Not Applicable,2025-08-12T22:25:46.823000Z,2025-08-12T22:30:06.504000Z,2025-08-13T04:05:59.271000Z,2025-08-12T22:30:06.902080Z,260,CM8R3288,10242,English,53,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
2,689bc0c26c971dc41a37158a,612039d9400fae9545b3c5a8,APPROVED,Not Applicable,2025-08-12T22:32:48.526000Z,2025-08-12T22:36:50.451000Z,2025-08-13T04:05:59.508000Z,2025-08-12T22:36:50.843296Z,242,CM8R3288,5530,"English, Spanish",34,Male,Other,United States,United States,United States,Spanish,No,Full-Time
2,689bc2a290fa909e31b4496f,5c22f28d70d93a0001201738,APPROVED,Not Applicable,2025-08-12T22:39:34.420000Z,2025-08-12T22:49:21.731000Z,2025-08-12T22:49:22.997000Z,2025-08-12T22:49:22.177040Z,588,CM8R3288,10220,English,60,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
2,689bc4f9296d4fb873b49c4f,5bef41fa54277d000114d6ad,APPROVED,Not Applicable,2025-08-12T22:49:34.179000Z,2025-08-12T22:58:00.785000Z,2025-08-12T22:58:02.888000Z,2025-08-12T22:58:01.205212Z,507,CM8R3288,8902,"English, Spanish",29,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,689bc7a277bbf61cf396ccc4,5f16f559325a640008bb9a07,APPROVED,Not Applicable,2025-08-12T23:00:55.630000Z,2025-08-12T23:20:15.051000Z,2025-08-12T23:20:15.574000Z,2025-08-12T23:20:15.478731Z,1160,CM8R3288,13284,English,38,Male,White,United States,United States,United States,English,No,Full-Time
2,689bcc35c3d7bcc41d91b6b1,6692d2d89afd0ca6187bc086,APPROVED,Not Applicable,2025-08-12T23:20:27.272000Z,2025-08-12T23:26:34.243000Z,2025-08-12T23:26:34.779000Z,2025-08-12T23:26:34.693904Z,367,CM8R3288,928,English,43,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2,689bcdadb4506c623154a450,67ee8226309b7b9917cd01ab,APPROVED,Not Applicable,2025-08-12T23:26:37.930000Z,2025-08-12T23:50:53.228000Z,2025-08-12T23:50:54.890000Z,2025-08-12T23:50:53.642630Z,1456,CM8R3288,226,English,31,Female,White,United States,United States,United States,English,No,Part-Time
2,689bd361670335d13ba4662b,66e83d294973e7627900cc1f,APPROVED,Not Applicable,2025-08-12T23:51:03.054000Z,2025-08-12T23:54:25.065000Z,2025-08-13T04:05:59.738000Z,2025-08-12T23:54:25.455568Z,203,CM8R3288,310,English,33,Male,White,United States,United States,United States,English,No,Full-Time
2,689bd437cb393723769b7a1b,6746319f1aea9020c91d4f4d,APPROVED,Not Applicable,2025-08-12T23:54:36.454000Z,2025-08-13T00:01:59.906000Z,2025-08-13T00:04:32.093000Z,2025-08-13T00:02:00.351368Z,444,CM8R3288,755,English,53,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2,689bd5fa0878f0ee63220d4f,67eab317b6f969b3df440160,APPROVED,Not Applicable,2025-08-13T00:02:02.825000Z,2025-08-13T00:15:04.052000Z,2025-08-13T00:15:04.619000Z,2025-08-13T00:15:04.514451Z,782,CM8R3288,1894,English,37,Female,White,United States,United States,United States,English,No,Full-Time
2,689bd9087e397e12b61135fc,67ee6f72aa206db46d5e9d11,APPROVED,Not Applicable,2025-08-13T00:15:04.757000Z,2025-08-13T00:31:25.566000Z,2025-08-13T00:31:26.308000Z,2025-08-13T00:31:26.058286Z,981,CM8R3288,2267,English,33,Female,White,United States,United States,United States,English,Yes,Part-Time
2,689bdcdec39e0a003949b9a0,66f305037af69346a9a55b42,APPROVED,Not Applicable,2025-08-13T00:31:46.729000Z,2025-08-13T00:35:49.202000Z,2025-08-13T04:05:59.987000Z,2025-08-13T00:35:49.623084Z,243,CM8R3288,4131,English,33,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
2,689bdded3db26f4ba4d9219f,663bab395c5db0c5bc0944d3,APPROVED,Not Applicable,2025-08-13T00:38:30.642000Z,2025-08-13T00:42:13.869000Z,2025-08-13T04:06:00.244000Z,2025-08-13T00:42:14.282329Z,224,CM8R3288,2679,English,42,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
2,689bdf6a03562820e7a43dd3,672bf6a8b306f66878d7d5ff,APPROVED,Not Applicable,2025-08-13T00:42:26.098000Z,2025-08-13T00:48:43.505000Z,2025-08-13T00:48:44.012000Z,2025-08-13T00:48:43.927536Z,378,CM8R3288,1683,English,24,Male,Black,United States,United States,United States,English,Yes,Full-Time
2,689be0eba4b6657160afe02b,5e2ac2aa0038f21089a533a4,APPROVED,Not Applicable,2025-08-13T00:48:43.664000Z,2025-08-13T00:54:27.981000Z,2025-08-13T00:54:30.092000Z,2025-08-13T00:54:28.443485Z,345,CM8R3288,9809,English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
2,689be24af579958c79062f18,62a3be0d93b8dd1e69b4317d,APPROVED,Not Applicable,2025-08-13T00:54:37.893000Z,2025-08-13T01:33:38.048000Z,2025-08-13T01:33:38.576000Z,2025-08-13T01:33:38.490948Z,2341,CM8R3288,5534,English,68,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,689beb7885a1dccd6cce6e27,66199b3cd796398a2ba74e05,APPROVED,Not Applicable,2025-08-13T01:33:47.437000Z,2025-08-13T01:37:57.530000Z,2025-08-13T04:06:00.491000Z,2025-08-13T01:37:57.927163Z,251,CM8R3288,1714,English,29,Female,White,United States,United States,United States,English,Yes,Full-Time
2,689bec797de081d42a0bdf23,5e29cc3230cf9d03580c34bf,APPROVED,Not Applicable,2025-08-13T01:38:06.627000Z,2025-08-13T01:42:30.565000Z,2025-08-13T04:06:00.722000Z,2025-08-13T01:42:30.942191Z,264,CM8R3288,5495,English,35,Male,White,United States,United States,United States,English,No,Full-Time
2,689bed87b7971dedf04de5ef,663176c4d9c9b4d919f7b79e,APPROVED,Not Applicable,2025-08-13T01:42:31.079000Z,2025-08-13T02:18:57.729000Z,2025-08-13T02:18:58.935000Z,2025-08-13T02:18:58.143910Z,2187,CM8R3288,4197,"English, Spanish",43,Female,Other,Mexico,United States,United States,Spanish,No,Full-Time
2,689bf680a23645d459120769,5e06ecd524f9390991997bb7,APPROVED,Not Applicable,2025-08-13T02:20:51.598000Z,2025-08-13T02:28:23.676000Z,2025-08-13T02:28:24.225000Z,2025-08-13T02:28:24.152484Z,453,CM8R3288,11250,English,30,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
2,689bf848bf509d3ae509bf15,67eee89119de070d8b864f60,APPROVED,Not Applicable,2025-08-13T02:28:24.489000Z,2025-08-13T02:51:23.229000Z,2025-08-13T02:51:24.504000Z,2025-08-13T02:51:23.663162Z,1379,CM8R3288,1260,English,35,Male,White,United States,United States,United States,English,Yes,Full-Time
2,689bfdac91faecf92f5b9bf4,67aca7b3335c8f2bb67624c3,APPROVED,Not Applicable,2025-08-13T02:51:24.902000Z,2025-08-13T03:12:02.639000Z,2025-08-13T03:12:04.090000Z,2025-08-13T03:12:03.054507Z,1238,CM8R3288,2149,English,45,Female,White,United States,United States,United States,English,Yes,Full-Time
2,689c02894f1af7338abf62ca,666c7b666fa83d9dad4c6451,APPROVED,Not Applicable,2025-08-13T03:12:13.615000Z,2025-08-13T03:16:02.293000Z,2025-08-13T04:06:00.952000Z,2025-08-13T03:16:02.854262Z,229,CM8R3288,2476,English,36,Male,White,United States,United States,United States,English,No,Full-Time
2,689bc6fe6ab1cfc0d0d5a2da,674d1412e0b30ad8c359b635,RETURNED,Not Applicable,2025-08-12T22:58:12.275000Z,,,,,,1344,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
2,689bf616fa2b0b4acab4ab2b,6314c1e76c3f71e2127f1976,RETURNED,Not Applicable,2025-08-13T02:19:08.461000Z,,,,,,4716,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
