"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":10299},{""page_index"":1,""viewing_time"":9744},{""page_index"":2,""viewing_time"":8100},{""page_index"":3,""viewing_time"":15452}]","43595","instructions","0","null","43608","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","","","","","","",""
"","3248","image-button-response","1","null","47864","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3518","image-button-response","2","null","51894","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","6946","image-button-response","3","null","59350","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-008.png","0","Airplane","78-008.png"
"","8722","image-button-response","4","null","68584","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-012.png","7","Hat","15-012.png"
"","7449","image-button-response","5","null","76542","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-011.png","3","Car","36-011.png"
"","3983","image-button-response","6","null","81042","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-006.png","0","Airplane","99-006.png"
"","7623","image-button-response","7","null","89178","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-005.png","10","Tree","46-005.png"
"","3354","image-button-response","8","null","93038","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-011.png","8","House","118-011.png"
"","3521","image-button-response","9","null","97076","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-006.png","4","Cat","62-006.png"
"","4294","image-button-response","10","null","101882","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-006.png","5","Chair","118-006.png"
"","3765","image-button-response","11","null","106162","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-009.png","1","Bicycle","41-009.png"
"","1746","image-button-response","12","null","108420","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-010.png","6","Cup","76-010.png"
"","13406","image-button-response","13","null","122344","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-011.png","8","House","9-011.png"
"","10838","image-button-response","14","null","133688","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-014.png","10","Tree","95-014.png"
"","6269","image-button-response","15","null","140462","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/82-013.png","2","Bird","82-013.png"
"","2152","image-button-response","16","null","143120","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-011.png","5","Chair","84-011.png"
"","2458","image-button-response","17","null","146082","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-016.png","8","House","77-016.png"
"","8107","image-button-response","18","null","154706","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-012.png","2","Bird","55-012.png"
"","3353","image-button-response","19","null","158571","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-009.png","10","Tree","109-009.png"
"","4614","image-button-response","20","null","163690","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-012.png","4","Cat","32-012.png"
"","17575","image-button-response","21","null","181770","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-010.png","5","Chair","116-010.png"
"","3615","image-button-response","22","null","185902","687fdaae700966b6d573aa86","687fdd6129bb2cad3f0e8bcc","651eea44194fa8c200606af7","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-016.png","11","Watch","32-016.png"
