"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":8956},{""page_index"":1,""viewing_time"":3609},{""page_index"":2,""viewing_time"":13886},{""page_index"":3,""viewing_time"":10449}]","36900","instructions","0","null","36903","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","","","","","","",""
"","3259","image-button-response","1","null","41165","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3188","image-button-response","2","null","44868","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","15429","image-button-response","3","null","60798","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-011.png","2","Bird","63-011.png"
"","10584","image-button-response","4","null","71883","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-016.png","8","House","94-016.png"
"","7973","image-button-response","5","null","80357","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-016.png","1","Bicycle","109-016.png"
"","8974","image-button-response","6","null","89837","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-016.png","4","Cat","27-016.png"
"","9125","image-button-response","7","null","99467","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-011.png","2","Bird","108-011.png"
"","13242","image-button-response","8","null","113216","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-005.png","1","Bicycle","52-005.png"
"","8672","image-button-response","9","null","122390","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-005.png","4","Cat","107-005.png"
"","9088","image-button-response","10","null","131987","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-010.png","7","Hat","107-010.png"
"","9166","image-button-response","11","null","141669","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-014.png","5","Chair","27-014.png"
"","3248","image-button-response","12","null","145420","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-015.png","11","Watch","26-015.png"
"","3311","image-button-response","13","null","149236","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-006.png","7","Hat","108-006.png"
"","9316","image-button-response","14","null","159054","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-007.png","5","Chair","7-007.png"
"","184489","image-button-response","15","null","344048","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-015.png","0","Airplane","8-015.png"
"","12738","image-button-response","16","null","357287","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-009.png","10","Tree","50-009.png"
"","2859","image-button-response","17","null","360661","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-011.png","11","Watch","107-011.png"
"","1764","image-button-response","18","null","362926","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-014.png","10","Tree","93-014.png"
"","12022","image-button-response","19","null","375450","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-010.png","2","Bird","27-010.png"
"","14472","image-button-response","20","null","390424","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-010.png","5","Chair","94-010.png"
"","8677","image-button-response","21","null","399602","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-014.png","6","Cup","7-014.png"
"","12264","image-button-response","22","null","412370","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-015.png","10","Tree","6-015.png"
"","5647","image-button-response","23","null","418518","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-012.png","9","Rabbit","51-012.png"
"","5351","image-button-response","24","null","424371","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-014.png","7","Hat","63-014.png"
"","5228","image-button-response","25","null","430104","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-005.png","8","House","51-005.png"
"","2472","image-button-response","26","null","433078","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-016.png","11","Watch","93-016.png"
"","5144","image-button-response","27","null","438723","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-012.png","6","Cup","7-012.png"
"","4177","image-button-response","28","null","443400","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-008.png","4","Cat","63-008.png"
"","2809","image-button-response","29","null","446711","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-013.png","0","Airplane","69-013.png"
"","5742","image-button-response","30","null","452954","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-011.png","5","Chair","27-011.png"
"","13008","image-button-response","31","null","466467","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-010.png","3","Car","95-010.png"
"","3172","image-button-response","32","null","470140","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-010.png","6","Cup","51-010.png"
"","7756","image-button-response","33","null","478398","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-006.png","5","Chair","7-006.png"
"","1488","image-button-response","34","null","480387","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","3022","image-button-response","35","null","483910","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-007.png","3","Car","63-007.png"
"","3869","image-button-response","36","null","488282","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-005.png","9","Rabbit","68-005.png"
"","8679","image-button-response","37","null","497463","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-015.png","7","Hat","52-015.png"
"","4744","image-button-response","38","null","502707","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-014.png","0","Airplane","108-014.png"
"","10212","image-button-response","39","null","513421","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-016.png","7","Hat","26-016.png"
"","10812","image-button-response","40","null","524735","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-005.png","5","Chair","7-005.png"
"","6272","image-button-response","41","null","531508","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-013.png","4","Cat","94-013.png"
"","18143","image-button-response","42","null","550157","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-006.png","4","Cat","27-006.png"
"","4018","image-button-response","43","null","554677","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-010.png","10","Tree","7-010.png"
"","2834","image-button-response","44","null","558012","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-008.png","2","Bird","27-008.png"
"","2069","image-button-response","45","null","560582","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-008.png","8","House","108-008.png"
"","2415","image-button-response","46","null","563499","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-007.png","0","Airplane","27-007.png"
"","2300","image-button-response","47","null","566300","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-013.png","5","Chair","63-013.png"
"","3800","image-button-response","48","null","570601","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-007.png","3","Car","95-007.png"
"","1680","image-button-response","49","null","572783","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-013.png","3","Car","108-013.png"
"","21370","image-button-response","50","null","594660","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-014.png","10","Tree","6-014.png"
"","3565","image-button-response","51","null","598726","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-009.png","5","Chair","51-009.png"
"","4092","image-button-response","52","null","603319","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-016.png","11","Watch","68-016.png"
"","2001","image-button-response","53","null","605822","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-012.png","1","Bicycle","63-012.png"
"","4028","image-button-response","54","null","610352","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-015.png","6","Cup","27-015.png"
"","12615","image-button-response","55","null","623468","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-006.png","0","Airplane","28-006.png"
"","4488","image-button-response","56","null","628460","685c6ca90f751d3aae6b1794","685c6e300cef5098ebdfac9c","558d8d71fdf99b534f79b352","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-011.png","10","Tree","7-011.png"
