"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":14426},{""page_index"":1,""viewing_time"":7565},{""page_index"":2,""viewing_time"":12238},{""page_index"":3,""viewing_time"":18026}]","52255","instructions","0","null","52271","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","","","","","","",""
"","3727","image-button-response","1","null","57014","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","4958","image-button-response","2","null","62488","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","15991","image-button-response","3","null","78983","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-005.png","8","House","70-005.png"
"","10469","image-button-response","4","null","89968","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-008.png","9","Rabbit","110-008.png"
"","7969","image-button-response","5","null","98451","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-011.png","4","Cat","110-011.png"
"","8051","image-button-response","6","null","107009","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-015.png","10","Tree","30-015.png"
"","22077","image-button-response","7","null","129593","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-011.png","7","Hat","29-011.png"
"","9905","image-button-response","8","null","140006","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-008.png","0","Airplane","29-008.png"
"","12286","image-button-response","9","null","152802","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-007.png","3","Car","9-007.png"
"","16478","image-button-response","10","null","169784","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-012.png","2","Bird","96-012.png"
"","16182","image-button-response","11","null","186478","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-016.png","4","Cat","71-016.png"
"","4770","image-button-response","12","null","191764","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-010.png","6","Cup","96-010.png"
"","11572","image-button-response","13","null","203840","685c6ca90f751d3aae6b1794","685c6e4a07589d53a0f02702","55b9a9b0fdf99b6906d2aba4","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-007.png","9","Rabbit","30-007.png"
