"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":12231},{""page_index"":1,""viewing_time"":36083},{""page_index"":2,""viewing_time"":3971},{""page_index"":3,""viewing_time"":3385}]","55670","instructions","0","null","55680","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","","","","","","",""
"","2868","image-button-response","1","null","59556","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3464","image-button-response","2","null","63538","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","6412","image-button-response","3","null","70520","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-013.png","8","House","30-013.png"
"","5935","image-button-response","4","null","76958","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-014.png","8","House","111-014.png"
"","12626","image-button-response","5","null","90138","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-016.png","2","Bird","72-016.png"
"","8287","image-button-response","6","null","98935","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-010.png","4","Cat","32-010.png"
"","14836","image-button-response","7","null","114283","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-015.png","5","Chair","10-015.png"
"","6013","image-button-response","8","null","120812","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-006.png","3","Car","98-006.png"
"","10857","image-button-response","9","null","132180","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-009.png","7","Hat","10-009.png"
"","7409","image-button-response","10","null","140105","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-010.png","8","House","30-010.png"
"","10354","image-button-response","11","null","150965","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-010.png","10","Tree","10-010.png"
"","6007","image-button-response","12","null","157483","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-011.png","10","Tree","54-011.png"
"","5934","image-button-response","13","null","163920","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-012.png","3","Car","111-012.png"
"","5454","image-button-response","14","null","169891","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-008.png","6","Cup","97-008.png"
"","15186","image-button-response","15","null","185590","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-012.png","11","Watch","10-012.png"
"","8495","image-button-response","16","null","194596","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-015.png","0","Airplane","112-015.png"
"","8512","image-button-response","17","null","203613","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-005.png","7","Hat","97-005.png"
"","4767","image-button-response","18","null","208883","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-016.png","0","Airplane","30-016.png"
"","6392","image-button-response","19","null","215781","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-006.png","8","House","31-006.png"
"","8174","image-button-response","20","null","224466","685c6ca90f751d3aae6b1794","685c6e1289a75a9faf1c55cd","594425f07ccfd00001d3f462","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-015.png","11","Watch","71-015.png"
