"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":3955},{""page_index"":1,""viewing_time"":6294},{""page_index"":2,""viewing_time"":5481},{""page_index"":3,""viewing_time"":8824}]","24554","instructions","0","null","24609","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","","","","","","",""
"","3727","image-button-response","1","null","29353","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3422","image-button-response","2","null","33284","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","18203","image-button-response","3","null","51999","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-007.png","3","Car","92-007.png"
"","8298","image-button-response","4","null","60809","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-007.png","7","Hat","34-007.png"
"","4451","image-button-response","5","null","65768","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-011.png","6","Cup","4-011.png"
"","4692","image-button-response","6","null","70999","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-007.png","5","Chair","59-007.png"
"","13031","image-button-response","7","null","84537","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-016.png","7","Hat","66-016.png"
"","5729","image-button-response","8","null","90769","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-015.png","6","Cup","59-015.png"
"","3040","image-button-response","9","null","94312","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-009.png","11","Watch","34-009.png"
"","6341","image-button-response","10","null","101164","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-008.png","4","Cat","66-008.png"
"","2436","image-button-response","11","null","104105","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","3376","image-button-response","12","null","107985","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-005.png","10","Tree","59-005.png"
"","5422","image-button-response","13","null","113915","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-014.png","8","House","91-014.png"
"","9054","image-button-response","14","null","123475","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-015.png","6","Cup","105-015.png"
"","8082","image-button-response","15","null","132063","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-008.png","5","Chair","91-008.png"
"","2787","image-button-response","16","null","135358","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-006.png","0","Airplane","25-006.png"
"","3417","image-button-response","17","null","139284","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-010.png","6","Cup","5-010.png"
"","9369","image-button-response","18","null","149163","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-015.png","9","Rabbit","5-015.png"
"","3138","image-button-response","19","null","152803","685c6ca90f751d3aae6b1794","685c6e1d7d775f797dcb8f15","5b5a822e1ad8270001c4f28d","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-007.png","4","Cat","91-007.png"
