"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":10223},{""page_index"":1,""viewing_time"":4885},{""page_index"":2,""viewing_time"":5853},{""page_index"":3,""viewing_time"":16037}]","36998","instructions","0","null","37008","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","","","","","","",""
"","3570","image-button-response","1","null","41596","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3101","image-button-response","2","null","45201","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","5644","image-button-response","3","null","51353","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-005.png","4","Cat","109-005.png"
"","4349","image-button-response","4","null","56206","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-008.png","6","Cup","52-008.png"
"","35146","image-button-response","5","null","91859","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-011.png","7","Hat","28-011.png"
"","13008","image-button-response","6","null","105371","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-016.png","5","Chair","52-016.png"
"","4187","image-button-response","7","null","110061","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-011.png","10","Tree","69-011.png"
"","3766","image-button-response","8","null","114341","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-008.png","0","Airplane","70-008.png"
"","2851","image-button-response","9","null","117700","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-014.png","1","Bicycle","69-014.png"
"","9113","image-button-response","10","null","127322","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-006.png","10","Tree","8-006.png"
"","3117","image-button-response","11","null","130950","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-013.png","6","Cup","95-013.png"
"","1670","image-button-response","12","null","133126","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-010.png","6","Cup","28-010.png"
"","11065","image-button-response","13","null","144700","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-010.png","4","Cat","69-010.png"
"","18857","image-button-response","14","null","164059","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-016.png","2","Bird","29-016.png"
"","8127","image-button-response","15","null","172694","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-016.png","10","Tree","8-016.png"
"","9123","image-button-response","16","null","182332","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-008.png","10","Tree","8-008.png"
"","10962","image-button-response","17","null","193812","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-008.png","11","Watch","69-008.png"
"","3640","image-button-response","18","null","197960","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-011.png","10","Tree","8-011.png"
"","2466","image-button-response","19","null","200929","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-010.png","5","Chair","109-010.png"
"","2775","image-button-response","20","null","204209","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-014.png","10","Tree","8-014.png"
"","2073","image-button-response","21","null","206797","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-006.png","8","House","95-006.png"
"","2023","image-button-response","22","null","209322","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-014.png","11","Watch","28-014.png"
"","3487","image-button-response","23","null","213314","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-014.png","10","Tree","95-014.png"
"","6731","image-button-response","24","null","220559","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-013.png","2","Bird","109-013.png"
"","8249","image-button-response","25","null","229312","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-008.png","9","Rabbit","109-008.png"
"","2482","image-button-response","26","null","232304","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-012.png","11","Watch","69-012.png"
"","3815","image-button-response","27","null","236625","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-015.png","10","Tree","28-015.png"
"","2480","image-button-response","28","null","239616","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-006.png","11","Watch","109-006.png"
"","2705","image-button-response","29","null","242830","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-005.png","7","Hat","95-005.png"
"","8194","image-button-response","30","null","251527","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-013.png","11","Watch","8-013.png"
"","2787","image-button-response","31","null","254830","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-009.png","7","Hat","52-009.png"
"","1963","image-button-response","32","null","257298","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-013.png","11","Watch","52-013.png"
"","10319","image-button-response","33","null","268120","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-005.png","1","Bicycle","28-005.png"
"","6352","image-button-response","34","null","274985","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-013.png","4","Cat","28-013.png"
"","7379","image-button-response","35","null","282875","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-016.png","3","Car","69-016.png"
"","5695","image-button-response","36","null","289087","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-006.png","3","Car","52-006.png"
"","3106","image-button-response","37","null","292697","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-015.png","2","Bird","69-015.png"
"","6188","image-button-response","38","null","299387","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-015.png","0","Airplane","109-015.png"
"","2592","image-button-response","39","null","302488","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-007.png","6","Cup","69-007.png"
"","5570","image-button-response","40","null","308574","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-012.png","8","House","95-012.png"
"","3330","image-button-response","41","null","312420","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-009.png","0","Airplane","96-009.png"
"","3214","image-button-response","42","null","316144","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-011.png","4","Cat","95-011.png"
"","4840","image-button-response","43","null","321491","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-008.png","4","Cat","28-008.png"
"","7457","image-button-response","44","null","329461","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-007.png","2","Bird","52-007.png"
"","3345","image-button-response","45","null","333309","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-009.png","8","House","69-009.png"
"","33795","image-button-response","46","null","367615","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-010.png","5","Chair","53-010.png"
"","3148","image-button-response","47","null","371275","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-006.png","1","Bicycle","110-006.png"
"","2166","image-button-response","48","null","373951","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-012.png","8","House","109-012.png"
"","2042","image-button-response","49","null","376503","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-012.png","8","House","28-012.png"
"","4633","image-button-response","50","null","381638","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-016.png","4","Cat","95-016.png"
"","24323","image-button-response","51","null","406478","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-009.png","10","Tree","8-009.png"
"","5276","image-button-response","52","null","412262","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-010.png","1","Bicycle","95-010.png"
"","4813","image-button-response","53","null","417587","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-011.png","7","Hat","109-011.png"
"","2409","image-button-response","54","null","420500","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-010.png","10","Tree","8-010.png"
"","2573","image-button-response","55","null","423590","685c6ca90f751d3aae6b1794","685c6e3f47f57cbe0b2c65da","5b757a03976ecb0001b1168f","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-009.png","8","House","9-009.png"
