"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":33755},{""page_index"":1,""viewing_time"":5545},{""page_index"":2,""viewing_time"":4216},{""page_index"":3,""viewing_time"":6520}]","50037","instructions","0","null","50055","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","","","","","","",""
"","3470","image-button-response","1","null","54537","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2261","image-button-response","2","null","57302","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","10462","image-button-response","3","null","68267","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-015.png","11","Watch","13-015.png"
"","6595","image-button-response","4","null","75366","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-013.png","9","Rabbit","28-013.png"
"","6883","image-button-response","5","null","82752","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-015.png","11","Watch","49-015.png"
"","4378","image-button-response","6","null","87636","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","11497","image-button-response","7","null","99636","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-009.png","2","Bird","3-009.png"
"","2896","image-button-response","8","null","103035","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/83-013.png","10","Tree","83-013.png"
"","2194","image-button-response","9","null","105733","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-013.png","6","Cup","23-013.png"
"","2469","image-button-response","10","null","108704","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-012.png","7","Hat","98-012.png"
"","2713","image-button-response","11","null","111920","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-006.png","4","Cat","87-006.png"
"","1898","image-button-response","12","null","114321","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-014.png","0","Airplane","81-014.png"
"","2210","image-button-response","13","null","117036","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-007.png","8","House","96-007.png"
"","7345","image-button-response","14","null","124885","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-011.png","2","Bird","66-011.png"
"","2280","image-button-response","15","null","127669","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-006.png","2","Bird","39-006.png"
"","2078","image-button-response","16","null","130251","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-008.png","9","Rabbit","26-008.png"
"","2681","image-button-response","17","null","133435","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-014.png","8","House","25-014.png"
"","2662","image-button-response","18","null","136601","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-007.png","11","Watch","4-007.png"
"","3413","image-button-response","19","null","140518","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-011.png","3","Car","102-011.png"
"","3749","image-button-response","20","null","144770","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-011.png","11","Watch","61-011.png"
"","2512","image-button-response","21","null","147786","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-007.png","6","Cup","74-007.png"
"","2462","image-button-response","22","null","150752","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-014.png","10","Tree","71-014.png"
"","2630","image-button-response","23","null","153885","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-007.png","7","Hat","6-007.png"
"","2732","image-button-response","24","null","157119","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-013.png","1","Bicycle","99-013.png"
"","3964","image-button-response","25","null","161586","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-014.png","2","Bird","70-014.png"
"","1697","image-button-response","26","null","163788","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-006.png","2","Bird","112-006.png"
"","5611","image-button-response","27","null","169902","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-016.png","7","Hat","5-016.png"
"","5715","image-button-response","28","null","176122","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-013.png","8","House","11-013.png"
"","1443","image-button-response","29","null","178070","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-015.png","8","House","1-015.png"
"","1687","image-button-response","30","null","180261","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-008.png","4","Cat","28-008.png"
"","3138","image-button-response","31","null","183902","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-010.png","8","House","30-010.png"
"","2031","image-button-response","32","null","186437","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-016.png","8","House","120-016.png"
"","2113","image-button-response","33","null","189054","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-013.png","7","Hat","43-013.png"
"","1896","image-button-response","34","null","191454","685c6ca90f751d3aae6b1794","685c725a8a09853d47c4ce83","5bb58e338f3bd70001e5df57","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-012.png","4","Cat","70-012.png"
