"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":7334},{""page_index"":1,""viewing_time"":5840},{""page_index"":2,""viewing_time"":4811},{""page_index"":3,""viewing_time"":24901}]","42887","instructions","0","null","42905","685c6ca90f751d3aae6b1794","685c6e2568083933e1eda45e","5bbd033261968f0001f02bac","","","","","","",""
"","3814","image-button-response","1","null","47726","685c6ca90f751d3aae6b1794","685c6e2568083933e1eda45e","5bbd033261968f0001f02bac","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2045","image-button-response","2","null","50274","685c6ca90f751d3aae6b1794","685c6e2568083933e1eda45e","5bbd033261968f0001f02bac","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","17812","image-button-response","3","null","68591","685c6ca90f751d3aae6b1794","685c6e2568083933e1eda45e","5bbd033261968f0001f02bac","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-016.png","4","Cat","51-016.png"
"","9753","image-button-response","4","null","78848","685c6ca90f751d3aae6b1794","685c6e2568083933e1eda45e","5bbd033261968f0001f02bac","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-006.png","7","Hat","108-006.png"
"","3190","image-button-response","5","null","82542","685c6ca90f751d3aae6b1794","685c6e2568083933e1eda45e","5bbd033261968f0001f02bac","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-006.png","8","House","63-006.png"
"","5345","image-button-response","6","null","88392","685c6ca90f751d3aae6b1794","685c6e2568083933e1eda45e","5bbd033261968f0001f02bac","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-009.png","0","Airplane","63-009.png"
"","15554","image-button-response","7","null","104451","685c6ca90f751d3aae6b1794","685c6e2568083933e1eda45e","5bbd033261968f0001f02bac","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-007.png","10","Tree","51-007.png"
"","17323","image-button-response","8","null","122278","685c6ca90f751d3aae6b1794","685c6e2568083933e1eda45e","5bbd033261968f0001f02bac","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-008.png","2","Bird","94-008.png"
"","21107","image-button-response","9","null","143889","685c6ca90f751d3aae6b1794","685c6e2568083933e1eda45e","5bbd033261968f0001f02bac","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-014.png","9","Rabbit","51-014.png"
