"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":7146},{""page_index"":1,""viewing_time"":4792},{""page_index"":2,""viewing_time"":5400},{""page_index"":3,""viewing_time"":10780}]","28118","instructions","0","null","28125","685c6ca90f751d3aae6b1794","685c6e22149ef02c062271e7","5bc893a51388c20001920fba","","","","","","",""
"","3114","image-button-response","1","null","32253","685c6ca90f751d3aae6b1794","685c6e22149ef02c062271e7","5bc893a51388c20001920fba","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2737","image-button-response","2","null","35505","685c6ca90f751d3aae6b1794","685c6e22149ef02c062271e7","5bc893a51388c20001920fba","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","30392","image-button-response","3","null","66404","685c6ca90f751d3aae6b1794","685c6e22149ef02c062271e7","5bc893a51388c20001920fba","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-011.png","5","Chair","8-011.png"
"","15959","image-button-response","4","null","82877","685c6ca90f751d3aae6b1794","685c6e22149ef02c062271e7","5bc893a51388c20001920fba","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-013.png","11","Watch","52-013.png"
"","3181","image-button-response","5","null","86569","685c6ca90f751d3aae6b1794","685c6e22149ef02c062271e7","5bc893a51388c20001920fba","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-008.png","4","Cat","28-008.png"
"","11786","image-button-response","6","null","98857","685c6ca90f751d3aae6b1794","685c6e22149ef02c062271e7","5bc893a51388c20001920fba","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-011.png","8","House","9-011.png"
"","3025","image-button-response","7","null","102396","685c6ca90f751d3aae6b1794","685c6e22149ef02c062271e7","5bc893a51388c20001920fba","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","4142","image-button-response","8","null","107045","685c6ca90f751d3aae6b1794","685c6e22149ef02c062271e7","5bc893a51388c20001920fba","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-011.png","5","Chair","96-011.png"
"","1877","image-button-response","9","null","109425","685c6ca90f751d3aae6b1794","685c6e22149ef02c062271e7","5bc893a51388c20001920fba","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-012.png","11","Watch","69-012.png"
"","12163","image-button-response","10","null","122093","685c6ca90f751d3aae6b1794","685c6e22149ef02c062271e7","5bc893a51388c20001920fba","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-010.png","10","Tree","8-010.png"
