"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":1211635},{""page_index"":1,""viewing_time"":2548},{""page_index"":2,""viewing_time"":135322},{""page_index"":3,""viewing_time"":2155}]","1351660","instructions","0","null","1351661","685c6ca90f751d3aae6b1794","685c6e3ecf79710635ea54ae","5c4ea7c3889752000156ddc5","","","","","","",""
"","2139","image-button-response","1","null","1354809","685c6ca90f751d3aae6b1794","685c6e3ecf79710635ea54ae","5c4ea7c3889752000156ddc5","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1149","image-button-response","2","null","1356472","685c6ca90f751d3aae6b1794","685c6e3ecf79710635ea54ae","5c4ea7c3889752000156ddc5","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","3968","image-button-response","3","null","1360956","685c6ca90f751d3aae6b1794","685c6e3ecf79710635ea54ae","5c4ea7c3889752000156ddc5","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-009.png","10","Tree","50-009.png"
"","1929","image-button-response","4","null","1363395","685c6ca90f751d3aae6b1794","685c6e3ecf79710635ea54ae","5c4ea7c3889752000156ddc5","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-007.png","8","House","50-007.png"
"","8414","image-button-response","5","null","1372312","685c6ca90f751d3aae6b1794","685c6e3ecf79710635ea54ae","5c4ea7c3889752000156ddc5","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-016.png","1","Bicycle","28-016.png"
"","2331","image-button-response","6","null","1375153","685c6ca90f751d3aae6b1794","685c6e3ecf79710635ea54ae","5c4ea7c3889752000156ddc5","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-014.png","5","Chair","63-014.png"
"","4505","image-button-response","7","null","1380159","685c6ca90f751d3aae6b1794","685c6e3ecf79710635ea54ae","5c4ea7c3889752000156ddc5","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-011.png","5","Chair","51-011.png"
"","2150","image-button-response","8","null","1382824","685c6ca90f751d3aae6b1794","685c6e3ecf79710635ea54ae","5c4ea7c3889752000156ddc5","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-009.png","8","House","27-009.png"
"","2004","image-button-response","9","null","1385329","685c6ca90f751d3aae6b1794","685c6e3ecf79710635ea54ae","5c4ea7c3889752000156ddc5","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-006.png","1","Bicycle","110-006.png"
"","3312","image-button-response","10","null","1389151","685c6ca90f751d3aae6b1794","685c6e3ecf79710635ea54ae","5c4ea7c3889752000156ddc5","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-006.png","5","Chair","69-006.png"
"","1807","image-button-response","11","null","1391459","685c6ca90f751d3aae6b1794","685c6e3ecf79710635ea54ae","5c4ea7c3889752000156ddc5","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-008.png","10","Tree","8-008.png"
"","1696","image-button-response","12","null","1393658","685c6ca90f751d3aae6b1794","685c6e3ecf79710635ea54ae","5c4ea7c3889752000156ddc5","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-014.png","5","Chair","27-014.png"
