"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":12429},{""page_index"":1,""viewing_time"":33630},{""page_index"":2,""viewing_time"":13723},{""page_index"":3,""viewing_time"":6903}]","66686","instructions","0","null","66692","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","","","","","","",""
"","2747","image-button-response","1","null","70455","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2236","image-button-response","2","null","73198","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","7241","image-button-response","3","null","80942","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-011.png","10","Tree","47-011.png"
"","9827","image-button-response","4","null","91275","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-008.png","0","Airplane","19-008.png"
"","3060","image-button-response","5","null","94852","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-010.png","8","House","88-010.png"
"","3603","image-button-response","6","null","98957","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-008.png","8","House","61-008.png"
"","3961","image-button-response","7","null","103420","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-010.png","6","Cup","101-010.png"
"","1737","image-button-response","8","null","105677","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-006.png","1","Bicycle","55-006.png"
"","11865","image-button-response","9","null","118048","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-016.png","2","Bird","40-016.png"
"","5480","image-button-response","10","null","124032","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-008.png","3","Car","87-008.png"
"","1653","image-button-response","11","null","126196","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-010.png","8","House","21-010.png"
"","7570","image-button-response","12","null","134268","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-015.png","3","Car","50-015.png"
"","1665","image-button-response","13","null","136445","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-008.png","3","Car","79-008.png"
"","1273","image-button-response","14","null","138222","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-008.png","4","Cat","28-008.png"
"","16275","image-button-response","15","null","155008","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-009.png","2","Bird","1-009.png"
"","7969","image-button-response","16","null","163483","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-008.png","9","Rabbit","119-008.png"
"","3037","image-button-response","17","null","167032","685c6ca90f751d3aae6b1794","685c70953f98fccd6c42ad8d","5c508096f45b26000122f391","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-012.png","6","Cup","88-012.png"
