"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":79445},{""page_index"":1,""viewing_time"":77671},{""page_index"":2,""viewing_time"":4983},{""page_index"":3,""viewing_time"":225626}]","387725","instructions","0","null","387734","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","","","","","","",""
"","2982","image-button-response","1","null","391723","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2093","image-button-response","2","null","394319","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","35540","image-button-response","3","null","430361","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-016.png","11","Watch","53-016.png"
"","77405","image-button-response","4","null","508274","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-014.png","1","Bicycle","29-014.png"
"","6478","image-button-response","5","null","515255","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-007.png","6","Cup","70-007.png"
"","2798","image-button-response","6","null","518556","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-015.png","7","Hat","110-015.png"
"","11001","image-button-response","7","null","530060","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-007.png","2","Bird","111-007.png"
"","82549","image-button-response","8","null","613112","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-011.png","9","Rabbit","53-011.png"
"","62338","image-button-response","9","null","675955","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-013.png","2","Bird","53-013.png"
"","2393","image-button-response","10","null","678861","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","2702","image-button-response","11","null","682065","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-010.png","1","Bicycle","112-010.png"
"","137868","image-button-response","12","null","820434","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-008.png","10","Tree","10-008.png"
"","4053","image-button-response","13","null","824990","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-011.png","4","Cat","110-011.png"
"","74712","image-button-response","14","null","900215","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-010.png","2","Bird","32-010.png"
"","42508","image-button-response","15","null","943235","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-012.png","3","Car","29-012.png"
"","12225","image-button-response","16","null","955973","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-014.png","11","Watch","70-014.png"
"","2468","image-button-response","17","null","958943","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-015.png","10","Tree","70-015.png"
"","7360","image-button-response","18","null","966810","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-006.png","9","Rabbit","70-006.png"
"","15369","image-button-response","19","null","982693","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-016.png","5","Chair","9-016.png"
"","5807","image-button-response","20","null","989001","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-010.png","6","Cup","96-010.png"
"","10385","image-button-response","21","null","999887","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-006.png","4","Cat","96-006.png"
"","2918","image-button-response","22","null","1003320","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-006.png","1","Bicycle","55-006.png"
"","44723","image-button-response","23","null","1048546","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-011.png","11","Watch","11-011.png"
"","4809","image-button-response","24","null","1053858","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-007.png","5","Chair","9-007.png"
"","6421","image-button-response","25","null","1060782","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-008.png","9","Rabbit","110-008.png"
"","4336","image-button-response","26","null","1065628","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-007.png","0","Airplane","97-007.png"
"","3414","image-button-response","27","null","1069548","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-009.png","10","Tree","110-009.png"
"","8839","image-button-response","28","null","1078890","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-009.png","3","Car","71-009.png"
"","4545","image-button-response","29","null","1083948","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-016.png","11","Watch","70-016.png"
"","31628","image-button-response","30","null","1116082","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-012.png","3","Car","53-012.png"
"","7914","image-button-response","31","null","1124498","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-010.png","9","Rabbit","71-010.png"
"","58941","image-button-response","32","null","1183943","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-007.png","7","Hat","30-007.png"
"","7717","image-button-response","33","null","1192167","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-008.png","7","Hat","29-008.png"
"","6267","image-button-response","34","null","1198937","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-010.png","5","Chair","9-010.png"
"","2643","image-button-response","35","null","1202085","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-006.png","1","Bicycle","98-006.png"
"","2901","image-button-response","36","null","1205489","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-012.png","3","Car","111-012.png"
"","4281","image-button-response","37","null","1210281","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-015.png","8","House","53-015.png"
"","2810","image-button-response","38","null","1213607","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-005.png","10","Tree","96-005.png"
"","4424","image-button-response","39","null","1218547","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-005.png","8","House","70-005.png"
"","2400","image-button-response","40","null","1221449","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-013.png","6","Cup","110-013.png"
"","6117","image-button-response","41","null","1228071","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-014.png","0","Airplane","55-014.png"
"","10293","image-button-response","42","null","1238865","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-014.png","5","Chair","9-014.png"
"","20778","image-button-response","43","null","1260145","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-016.png","6","Cup","71-016.png"
"","3677","image-button-response","44","null","1264323","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-012.png","5","Chair","110-012.png"
"","3038","image-button-response","45","null","1267865","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-016.png","8","House","110-016.png"
"","2228","image-button-response","46","null","1270609","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-016.png","11","Watch","96-016.png"
"","2960","image-button-response","47","null","1274080","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-006.png","1","Bicycle","31-006.png"
"","10839","image-button-response","48","null","1285427","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-015.png","11","Watch","29-015.png"
"","3534","image-button-response","49","null","1289463","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-011.png","6","Cup","29-011.png"
"","2555","image-button-response","50","null","1292526","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-014.png","3","Car","97-014.png"
"","3118","image-button-response","51","null","1296150","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-013.png","6","Cup","9-013.png"
"","2344","image-button-response","52","null","1298996","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-005.png","11","Watch","110-005.png"
"","4790","image-button-response","53","null","1304288","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-006.png","5","Chair","9-006.png"
"","3630","image-button-response","54","null","1308420","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-014.png","2","Bird","53-014.png"
"","4607","image-button-response","55","null","1313530","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-011.png","5","Chair","96-011.png"
"","3514","image-button-response","56","null","1317546","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-005.png","3","Car","54-005.png"
"","3648","image-button-response","57","null","1321710","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-008.png","5","Chair","53-008.png"
"","6046","image-button-response","58","null","1328266","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-015.png","6","Cup","9-015.png"
"","10012","image-button-response","59","null","1338780","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-012.png","2","Bird","96-012.png"
"","4366","image-button-response","60","null","1343660","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-008.png","7","Hat","30-008.png"
"","4069","image-button-response","61","null","1348232","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-013.png","5","Chair","70-013.png"
"","9182","image-button-response","62","null","1357924","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-008.png","3","Car","12-008.png"
"","6001","image-button-response","63","null","1364428","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-009.png","2","Bird","29-009.png"
"","3795","image-button-response","64","null","1368724","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-015.png","0","Airplane","112-015.png"
"","2766","image-button-response","65","null","1372000","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-005.png","0","Airplane","73-005.png"
"","5914","image-button-response","66","null","1378416","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-010.png","5","Chair","29-010.png"
"","3384","image-button-response","67","null","1382312","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-008.png","5","Chair","72-008.png"
"","13339","image-button-response","68","null","1396153","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-013.png","2","Bird","29-013.png"
"","62309","image-button-response","69","null","1458965","685c6ca90f751d3aae6b1794","685c6e2aad3649498a94e1dd","5cb5f1e080ba1c0001790399","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-006.png","4","Cat","54-006.png"
