"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":10172},{""page_index"":1,""viewing_time"":2303},{""page_index"":2,""viewing_time"":3000},{""page_index"":3,""viewing_time"":6616}]","22091","instructions","0","null","22105","685c6ca90f751d3aae6b1794","685c6e33a8d5085b911cc320","5d0eecdd348afe00015865aa","","","","","","",""
"","2969","image-button-response","1","null","26083","685c6ca90f751d3aae6b1794","685c6e33a8d5085b911cc320","5d0eecdd348afe00015865aa","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2910","image-button-response","2","null","29497","685c6ca90f751d3aae6b1794","685c6e33a8d5085b911cc320","5d0eecdd348afe00015865aa","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","6336","image-button-response","3","null","36337","685c6ca90f751d3aae6b1794","685c6e33a8d5085b911cc320","5d0eecdd348afe00015865aa","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-005.png","7","Hat","95-005.png"
"","4591","image-button-response","4","null","41432","685c6ca90f751d3aae6b1794","685c6e33a8d5085b911cc320","5d0eecdd348afe00015865aa","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-008.png","6","Cup","52-008.png"
"","3025","image-button-response","5","null","44961","685c6ca90f751d3aae6b1794","685c6e33a8d5085b911cc320","5d0eecdd348afe00015865aa","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-009.png","7","Hat","52-009.png"
"","4440","image-button-response","6","null","49905","685c6ca90f751d3aae6b1794","685c6e33a8d5085b911cc320","5d0eecdd348afe00015865aa","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-015.png","2","Bird","28-015.png"
"","4024","image-button-response","7","null","54432","685c6ca90f751d3aae6b1794","685c6e33a8d5085b911cc320","5d0eecdd348afe00015865aa","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-009.png","10","Tree","109-009.png"
"","7016","image-button-response","8","null","61953","685c6ca90f751d3aae6b1794","685c6e33a8d5085b911cc320","5d0eecdd348afe00015865aa","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-009.png","4","Cat","94-009.png"
"","4175","image-button-response","9","null","66633","685c6ca90f751d3aae6b1794","685c6e33a8d5085b911cc320","5d0eecdd348afe00015865aa","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-011.png","7","Hat","109-011.png"
