"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":40979},{""page_index"":1,""viewing_time"":42385},{""page_index"":2,""viewing_time"":5611},{""page_index"":3,""viewing_time"":6685}]","95660","instructions","0","null","95667","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","","","","","","",""
"","3061","image-button-response","1","null","99738","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1815","image-button-response","2","null","102054","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","5363","image-button-response","3","null","107932","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-014.png","6","Cup","24-014.png"
"","6082","image-button-response","4","null","114516","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-010.png","0","Airplane","54-010.png"
"","2708","image-button-response","5","null","117731","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/83-007.png","2","Bird","83-007.png"
"","29370","image-button-response","6","null","147602","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-014.png","9","Rabbit","106-014.png"
"","5125","image-button-response","7","null","153229","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-016.png","3","Car","2-016.png"
"","2244","image-button-response","8","null","155975","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-005.png","10","Tree","57-005.png"
"","18506","image-button-response","9","null","174983","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-015.png","2","Bird","37-015.png"
"","10595","image-button-response","10","null","186079","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-012.png","7","Hat","55-012.png"
"","3212","image-button-response","11","null","189796","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-007.png","7","Hat","33-007.png"
"","4070","image-button-response","12","null","194379","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-014.png","3","Car","77-014.png"
"","3887","image-button-response","13","null","198777","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-005.png","0","Airplane","30-005.png"
"","3502","image-button-response","14","null","202780","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-013.png","4","Cat","107-013.png"
"","2232","image-button-response","15","null","205527","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-009.png","8","House","44-009.png"
"","8370","image-button-response","16","null","214402","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-016.png","6","Cup","18-016.png"
"","1592","image-button-response","17","null","216507","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-006.png","6","Cup","80-006.png"
"","2258","image-button-response","18","null","219266","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-010.png","10","Tree","113-010.png"
"","1875","image-button-response","19","null","221642","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-015.png","8","House","24-015.png"
"","1634","image-button-response","20","null","223783","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-005.png","0","Airplane","41-005.png"
"","2447","image-button-response","21","null","226734","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-009.png","3","Car","46-009.png"
"","2709","image-button-response","22","null","229945","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-012.png","3","Car","15-012.png"
"","1711","image-button-response","23","null","232174","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-015.png","3","Car","13-015.png"
"","1349","image-button-response","24","null","234035","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-012.png","3","Car","73-012.png"
"","3130","image-button-response","25","null","237677","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-015.png","2","Bird","49-015.png"
"","2310","image-button-response","26","null","240500","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-005.png","7","Hat","10-005.png"
"","3089","image-button-response","27","null","244099","685c6ca90f751d3aae6b1794","685c77a86386851d6da4bfce","5d23cee7771223001647e8c7","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-006.png","1","Bicycle","85-006.png"
