"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":7085},{""page_index"":1,""viewing_time"":5727},{""page_index"":2,""viewing_time"":98135},{""page_index"":3,""viewing_time"":25130}]","136077","instructions","0","null","136084","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","","","","","","",""
"","3938","image-button-response","1","null","141027","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2401","image-button-response","2","null","143944","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","3695","image-button-response","3","null","148144","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-011.png","7","Hat","38-011.png"
"","18072","image-button-response","4","null","166721","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-016.png","8","House","19-016.png"
"","7414","image-button-response","5","null","174640","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-015.png","1","Bicycle","16-015.png"
"","11290","image-button-response","6","null","186437","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-015.png","4","Cat","37-015.png"
"","6641","image-button-response","7","null","193584","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/45-012.png","7","Hat","45-012.png"
"","4849","image-button-response","8","null","198938","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-016.png","7","Hat","118-016.png"
"","4831","image-button-response","9","null","204276","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-010.png","1","Bicycle","80-010.png"
"","2016","image-button-response","10","null","206800","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-007.png","6","Cup","84-007.png"
"","4112","image-button-response","11","null","211415","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-008.png","2","Bird","48-008.png"
"","3092","image-button-response","12","null","215012","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-016.png","4","Cat","46-016.png"
"","28063","image-button-response","13","null","243580","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-014.png","6","Cup","47-014.png"
"","1874","image-button-response","14","null","245960","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-009.png","1","Bicycle","119-009.png"
"","2893","image-button-response","15","null","249354","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-005.png","3","Car","48-005.png"
"","3215","image-button-response","16","null","253076","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-012.png","0","Airplane","40-012.png"
"","2503","image-button-response","17","null","256084","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-011.png","3","Car","80-011.png"
"","1760","image-button-response","18","null","258352","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-005.png","4","Cat","21-005.png"
"","14827","image-button-response","19","null","273682","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-013.png","0","Airplane","19-013.png"
"","5170","image-button-response","20","null","279359","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-015.png","3","Car","87-015.png"
"","6335","image-button-response","21","null","286197","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-006.png","4","Cat","87-006.png"
"","2625","image-button-response","22","null","289329","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-006.png","10","Tree","76-006.png"
"","1648","image-button-response","23","null","291493","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-010.png","11","Watch","81-010.png"
"","32138","image-button-response","24","null","324135","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-016.png","0","Airplane","87-016.png"
"","1926","image-button-response","25","null","326567","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-008.png","8","House","38-008.png"
"","4037","image-button-response","26","null","331111","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-006.png","3","Car","40-006.png"
"","4183","image-button-response","27","null","335798","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-007.png","5","Chair","87-007.png"
"","1434","image-button-response","28","null","337735","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/40-008.png","5","Chair","40-008.png"
"","4139","image-button-response","29","null","342377","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","1917","image-button-response","30","null","344797","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-012.png","4","Cat","80-012.png"
"","1687","image-button-response","31","null","346993","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-014.png","8","House","84-014.png"
"","2145","image-button-response","32","null","349645","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-006.png","0","Airplane","88-006.png"
"","1755","image-button-response","33","null","351905","685c6ca90f751d3aae6b1794","685c6f9799a43750935f6548","5d743ec4869c8f0019b35907","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-006.png","10","Tree","116-006.png"
