"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":5157},{""page_index"":1,""viewing_time"":2649},{""page_index"":2,""viewing_time"":3534},{""page_index"":3,""viewing_time"":5100}]","16440","instructions","0","null","16456","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","","","","","","",""
"","2393","image-button-response","1","null","19857","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1520","image-button-response","2","null","21889","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","4929","image-button-response","3","null","27322","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-008.png","0","Airplane","44-008.png"
"","3630","image-button-response","4","null","31455","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-006.png","8","House","63-006.png"
"","5862","image-button-response","5","null","37822","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-015.png","0","Airplane","93-015.png"
"","7564","image-button-response","6","null","45889","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-010.png","3","Car","58-010.png"
"","11847","image-button-response","7","null","58239","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-005.png","0","Airplane","13-005.png"
"","3780","image-button-response","8","null","62522","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-006.png","6","Cup","117-006.png"
"","4379","image-button-response","9","null","67405","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-008.png","2","Bird","80-008.png"
"","2715","image-button-response","10","null","70622","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-016.png","8","House","55-016.png"
"","3197","image-button-response","11","null","74323","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-010.png","0","Airplane","20-010.png"
"","4864","image-button-response","12","null","79689","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-007.png","1","Bicycle","88-007.png"
"","3430","image-button-response","13","null","83623","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-009.png","0","Airplane","115-009.png"
"","4863","image-button-response","14","null","88989","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-013.png","5","Chair","116-013.png"
"","4614","image-button-response","15","null","94106","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-011.png","6","Cup","67-011.png"
"","3396","image-button-response","16","null","98006","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-010.png","2","Bird","25-010.png"
"","5314","image-button-response","17","null","103822","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-015.png","3","Car","115-015.png"
"","3681","image-button-response","18","null","108006","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-009.png","6","Cup","99-009.png"
"","8013","image-button-response","19","null","116522","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-011.png","0","Airplane","114-011.png"
"","4481","image-button-response","20","null","121507","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-009.png","5","Chair","92-009.png"
"","3063","image-button-response","21","null","125073","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-011.png","5","Chair","19-011.png"
"","3097","image-button-response","22","null","128673","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-013.png","10","Tree","100-013.png"
"","2563","image-button-response","23","null","131740","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-015.png","8","House","23-015.png"
"","9263","image-button-response","24","null","141506","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-006.png","11","Watch","13-006.png"
"","6064","image-button-response","25","null","148073","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-012.png","2","Bird","13-012.png"
"","5730","image-button-response","26","null","154306","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-016.png","8","House","48-016.png"
"","6182","image-button-response","27","null","160990","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-005.png","4","Cat","76-005.png"
"","4280","image-button-response","28","null","165773","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-012.png","1","Bicycle","49-012.png"
"","4014","image-button-response","29","null","170290","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-014.png","10","Tree","73-014.png"
"","7496","image-button-response","30","null","178290","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-016.png","10","Tree","24-016.png"
"","4546","image-button-response","31","null","183340","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-005.png","3","Car","85-005.png"
"","4180","image-button-response","32","null","188023","685c6ca90f751d3aae6b1794","685c75bfd62b1599b182905a","5dedec3919398a49e1133b0d","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-008.png","10","Tree","5-008.png"
