"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":10420},{""page_index"":1,""viewing_time"":3292},{""page_index"":2,""viewing_time"":4308},{""page_index"":3,""viewing_time"":5180}]","23200","instructions","0","null","23219","685c6ca90f751d3aae6b1794","685c6e9006c7d99d50d9e1b2","5dfe3e8b7adf4bade99190f0","","","","","","",""
"","2997","image-button-response","1","null","27229","685c6ca90f751d3aae6b1794","685c6e9006c7d99d50d9e1b2","5dfe3e8b7adf4bade99190f0","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2394","image-button-response","2","null","30133","685c6ca90f751d3aae6b1794","685c6e9006c7d99d50d9e1b2","5dfe3e8b7adf4bade99190f0","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","18683","image-button-response","3","null","49327","685c6ca90f751d3aae6b1794","685c6e9006c7d99d50d9e1b2","5dfe3e8b7adf4bade99190f0","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-016.png","10","Tree","13-016.png"
"","3458","image-button-response","4","null","53291","685c6ca90f751d3aae6b1794","685c6e9006c7d99d50d9e1b2","5dfe3e8b7adf4bade99190f0","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-014.png","10","Tree","36-014.png"
"","14016","image-button-response","5","null","67810","685c6ca90f751d3aae6b1794","685c6e9006c7d99d50d9e1b2","5dfe3e8b7adf4bade99190f0","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-010.png","1","Bicycle","33-010.png"
"","5427","image-button-response","6","null","73749","685c6ca90f751d3aae6b1794","685c6e9006c7d99d50d9e1b2","5dfe3e8b7adf4bade99190f0","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-012.png","5","Chair","81-012.png"
"","3435","image-button-response","7","null","77697","685c6ca90f751d3aae6b1794","685c6e9006c7d99d50d9e1b2","5dfe3e8b7adf4bade99190f0","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-014.png","7","Hat","33-014.png"
"","2301","image-button-response","8","null","80505","685c6ca90f751d3aae6b1794","685c6e9006c7d99d50d9e1b2","5dfe3e8b7adf4bade99190f0","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-014.png","3","Car","76-014.png"
"","4362","image-button-response","9","null","85383","685c6ca90f751d3aae6b1794","685c6e9006c7d99d50d9e1b2","5dfe3e8b7adf4bade99190f0","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-007.png","5","Chair","35-007.png"
"","2036","image-button-response","10","null","87927","685c6ca90f751d3aae6b1794","685c6e9006c7d99d50d9e1b2","5dfe3e8b7adf4bade99190f0","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-007.png","8","House","114-007.png"
"","5503","image-button-response","11","null","93935","685c6ca90f751d3aae6b1794","685c6e9006c7d99d50d9e1b2","5dfe3e8b7adf4bade99190f0","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-009.png","2","Bird","14-009.png"
"","1838","image-button-response","12","null","96283","685c6ca90f751d3aae6b1794","685c6e9006c7d99d50d9e1b2","5dfe3e8b7adf4bade99190f0","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-012.png","8","House","74-012.png"
