"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":7297},{""page_index"":1,""viewing_time"":5088},{""page_index"":2,""viewing_time"":6513},{""page_index"":3,""viewing_time"":3752}]","22649","instructions","0","null","22699","685c6ca90f751d3aae6b1794","685c6e1040fe409a291e1d35","5e121701dc79bd8a1a22ca99","","","","","","",""
"","2353","image-button-response","1","null","26059","685c6ca90f751d3aae6b1794","685c6e1040fe409a291e1d35","5e121701dc79bd8a1a22ca99","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2279","image-button-response","2","null","28842","685c6ca90f751d3aae6b1794","685c6e1040fe409a291e1d35","5e121701dc79bd8a1a22ca99","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","9707","image-button-response","3","null","39066","685c6ca90f751d3aae6b1794","685c6e1040fe409a291e1d35","5e121701dc79bd8a1a22ca99","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-012.png","9","Rabbit","104-012.png"
"","5864","image-button-response","4","null","45442","685c6ca90f751d3aae6b1794","685c6e1040fe409a291e1d35","5e121701dc79bd8a1a22ca99","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-015.png","1","Bicycle","90-015.png"
"","30201","image-button-response","5","null","76162","685c6ca90f751d3aae6b1794","685c6e1040fe409a291e1d35","5e121701dc79bd8a1a22ca99","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-005.png","10","Tree","3-005.png"
"","5074","image-button-response","6","null","81746","685c6ca90f751d3aae6b1794","685c6e1040fe409a291e1d35","5e121701dc79bd8a1a22ca99","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-015.png","8","House","23-015.png"
"","8559","image-button-response","7","null","90810","685c6ca90f751d3aae6b1794","685c6e1040fe409a291e1d35","5e121701dc79bd8a1a22ca99","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-015.png","4","Cat","65-015.png"
"","7160","image-button-response","8","null","98474","685c6ca90f751d3aae6b1794","685c6e1040fe409a291e1d35","5e121701dc79bd8a1a22ca99","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-013.png","4","Cat","90-013.png"
"","9763","image-button-response","9","null","108754","685c6ca90f751d3aae6b1794","685c6e1040fe409a291e1d35","5e121701dc79bd8a1a22ca99","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-009.png","4","Cat","3-009.png"
