"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":14288},{""page_index"":1,""viewing_time"":5941},{""page_index"":2,""viewing_time"":6612},{""page_index"":3,""viewing_time"":7983}]","34824","instructions","0","null","34834","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","","","","","","",""
"","5267","image-button-response","1","null","41105","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2833","image-button-response","2","null","44444","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","6191","image-button-response","3","null","51137","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-015.png","8","House","116-015.png"
"","13314","image-button-response","4","null","64964","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-007.png","4","Cat","24-007.png"
"","5768","image-button-response","5","null","71234","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-016.png","2","Bird","67-016.png"
"","4993","image-button-response","6","null","76735","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-006.png","7","Hat","43-006.png"
"","26279","image-button-response","7","null","103527","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-007.png","9","Rabbit","90-007.png"
"","4380","image-button-response","8","null","108414","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-016.png","10","Tree","115-016.png"
"","3268","image-button-response","9","null","112184","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-009.png","6","Cup","99-009.png"
"","21638","image-button-response","10","null","134325","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-010.png","0","Airplane","104-010.png"
"","27060","image-button-response","11","null","161894","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-014.png","0","Airplane","6-014.png"
"","22547","image-button-response","12","null","184948","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/76-008.png","3","Car","76-008.png"
"","48079","image-button-response","13","null","233537","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-012.png","11","Watch","48-012.png"
"","8984","image-button-response","14","null","243027","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-009.png","5","Chair","51-009.png"
"","14128","image-button-response","15","null","257656","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-013.png","4","Cat","88-013.png"
"","6041","image-button-response","16","null","264199","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-013.png","3","Car","112-013.png"
"","29900","image-button-response","17","null","294611","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-013.png","0","Airplane","20-013.png"
"","10827","image-button-response","18","null","305944","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-006.png","7","Hat","20-006.png"
"","6539","image-button-response","19","null","312989","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-006.png","0","Airplane","46-006.png"
"","6750","image-button-response","20","null","320251","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-015.png","2","Bird","29-015.png"
"","9178","image-button-response","21","null","329933","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-015.png","9","Rabbit","78-015.png"
"","42203","image-button-response","22","null","372638","685c6ca90f751d3aae6b1794","685c71dae01431897fd85532","5ed9c3054268815691ed0e2c","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-007.png","2","Bird","81-007.png"
