"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":9785},{""page_index"":1,""viewing_time"":3779},{""page_index"":2,""viewing_time"":2778},{""page_index"":3,""viewing_time"":4618}]","20960","instructions","0","null","20972","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","","","","","","",""
"","2622","image-button-response","1","null","24607","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1843","image-button-response","2","null","26960","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","22912","image-button-response","3","null","50381","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-009.png","4","Cat","79-009.png"
"","11334","image-button-response","4","null","62233","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-016.png","0","Airplane","87-016.png"
"","3467","image-button-response","5","null","66208","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-015.png","6","Cup","118-015.png"
"","7120","image-button-response","6","null","73839","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-016.png","5","Chair","120-016.png"
"","3106","image-button-response","7","null","77453","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/38-008.png","8","House","38-008.png"
"","2797","image-button-response","8","null","80762","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/37-016.png","10","Tree","37-016.png"
"","2639","image-button-response","9","null","83910","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-013.png","7","Hat","78-013.png"
"","7580","image-button-response","10","null","91996","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-016.png","5","Chair","19-016.png"
"","2715","image-button-response","11","null","95229","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-015.png","8","House","46-015.png"
"","2866","image-button-response","12","null","98598","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-011.png","4","Cat","39-011.png"
"","3408","image-button-response","13","null","102511","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-009.png","9","Rabbit","17-009.png"
"","4713","image-button-response","14","null","107732","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/45-011.png","2","Bird","45-011.png"
"","8422","image-button-response","15","null","116656","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-005.png","10","Tree","44-005.png"
"","2962","image-button-response","16","null","120123","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-010.png","1","Bicycle","80-010.png"
"","7220","image-button-response","17","null","127852","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-009.png","7","Hat","48-009.png"
"","2986","image-button-response","18","null","131352","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-015.png","4","Cat","86-015.png"
"","3033","image-button-response","19","null","134896","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-010.png","11","Watch","81-010.png"
"","3630","image-button-response","20","null","139030","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-010.png","3","Car","48-010.png"
"","4028","image-button-response","21","null","143564","685c6ca90f751d3aae6b1794","685c6e0f4627fbcdab1372fb","5edcfe625cd39c9efd5cc2ae","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/84-008.png","7","Hat","84-008.png"
