"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":57907},{""page_index"":1,""viewing_time"":5285},{""page_index"":2,""viewing_time"":3128},{""page_index"":3,""viewing_time"":7124}]","73445","instructions","0","null","73470","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","","","","","","",""
"","2129","image-button-response","1","null","76606","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2068","image-button-response","2","null","79181","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","3132","image-button-response","3","null","82822","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-009.png","3","Car","93-009.png"
"","3088","image-button-response","4","null","86424","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-011.png","11","Watch","107-011.png"
"","4944","image-button-response","5","null","91872","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-008.png","4","Cat","50-008.png"
"","19151","image-button-response","6","null","111532","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-014.png","6","Cup","6-014.png"
"","3296","image-button-response","7","null","115342","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-007.png","2","Bird","68-007.png"
"","2928","image-button-response","8","null","118775","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-005.png","6","Cup","93-005.png"
"","2043","image-button-response","9","null","121334","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-011.png","6","Cup","26-011.png"
"","6715","image-button-response","10","null","128553","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-005.png","6","Cup","6-005.png"
"","2979","image-button-response","11","null","132046","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-010.png","10","Tree","107-010.png"
"","4333","image-button-response","12","null","136888","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-013.png","1","Bicycle","93-013.png"
"","4530","image-button-response","13","null","141936","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-010.png","8","House","93-010.png"
"","2433","image-button-response","14","null","144878","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-012.png","8","House","26-012.png"
"","7931","image-button-response","15","null","153313","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-008.png","0","Airplane","68-008.png"
"","7041","image-button-response","16","null","160871","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-008.png","2","Bird","26-008.png"
"","2511","image-button-response","17","null","163892","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-009.png","3","Car","107-009.png"
"","3761","image-button-response","18","null","168168","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-016.png","1","Bicycle","108-016.png"
"","5083","image-button-response","19","null","173764","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-013.png","7","Hat","68-013.png"
"","4115","image-button-response","20","null","178396","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-016.png","11","Watch","93-016.png"
"","4658","image-button-response","21","null","183564","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-009.png","7","Hat","26-009.png"
"","2416","image-button-response","22","null","186489","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-015.png","11","Watch","26-015.png"
"","3827","image-button-response","23","null","190822","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-005.png","4","Cat","107-005.png"
"","14338","image-button-response","24","null","205669","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-013.png","2","Bird","6-013.png"
"","3954","image-button-response","25","null","210139","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-013.png","4","Cat","107-013.png"
"","3283","image-button-response","26","null","213927","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-016.png","11","Watch","68-016.png"
"","4864","image-button-response","27","null","219297","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-015.png","10","Tree","68-015.png"
"","4195","image-button-response","28","null","224007","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-006.png","8","House","107-006.png"
"","17239","image-button-response","29","null","241755","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-010.png","10","Tree","50-010.png"
"","4077","image-button-response","30","null","246341","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-005.png","1","Bicycle","26-005.png"
"","3102","image-button-response","31","null","249949","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-008.png","7","Hat","93-008.png"
"","6153","image-button-response","32","null","256615","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-012.png","2","Bird","93-012.png"
"","8969","image-button-response","33","null","266090","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-006.png","5","Chair","93-006.png"
"","19787","image-button-response","34","null","286384","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-010.png","4","Cat","26-010.png"
"","4277","image-button-response","35","null","291172","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-006.png","3","Car","26-006.png"
"","6063","image-button-response","36","null","297746","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-008.png","6","Cup","107-008.png"
"","3669","image-button-response","37","null","301920","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-007.png","3","Car","26-007.png"
"","5433","image-button-response","38","null","307858","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-014.png","8","House","68-014.png"
"","6804","image-button-response","39","null","315176","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-015.png","10","Tree","6-015.png"
"","3911","image-button-response","40","null","319592","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-016.png","0","Airplane","6-016.png"
"","3005","image-button-response","41","null","323101","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-014.png","10","Tree","93-014.png"
"","4159","image-button-response","42","null","327765","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-005.png","9","Rabbit","68-005.png"
"","18361","image-button-response","43","null","346639","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-012.png","5","Chair","68-012.png"
"","5567","image-button-response","44","null","352715","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-011.png","4","Cat","68-011.png"
"","4441","image-button-response","45","null","357659","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-015.png","2","Bird","93-015.png"
"","3671","image-button-response","46","null","361833","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-007.png","4","Cat","93-007.png"
"","10286","image-button-response","47","null","372621","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-006.png","7","Hat","6-006.png"
"","2927","image-button-response","48","null","376051","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-012.png","7","Hat","6-012.png"
"","3053","image-button-response","49","null","379621","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-006.png","3","Car","50-006.png"
"","9041","image-button-response","50","null","389177","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-008.png","8","House","6-008.png"
"","3999","image-button-response","51","null","393686","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-006.png","6","Cup","68-006.png"
"","3915","image-button-response","52","null","398108","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-013.png","0","Airplane","50-013.png"
"","3194","image-button-response","53","null","401819","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-009.png","10","Tree","50-009.png"
"","4372","image-button-response","54","null","406698","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/93-011.png","2","Bird","93-011.png"
"","4723","image-button-response","55","null","411928","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-016.png","0","Airplane","107-016.png"
"","5582","image-button-response","56","null","418012","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-007.png","8","House","50-007.png"
"","3929","image-button-response","57","null","422450","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-016.png","4","Cat","50-016.png"
"","7816","image-button-response","58","null","430777","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-014.png","8","House","50-014.png"
"","5273","image-button-response","59","null","436557","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-007.png","11","Watch","107-007.png"
"","7588","image-button-response","60","null","444651","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-010.png","6","Cup","6-010.png"
"","3048","image-button-response","61","null","448206","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-016.png","10","Tree","26-016.png"
"","6365","image-button-response","62","null","455074","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-009.png","1","Bicycle","68-009.png"
"","3544","image-button-response","63","null","459132","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-015.png","3","Car","50-015.png"
"","6954","image-button-response","64","null","466595","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-013.png","2","Bird","26-013.png"
"","3658","image-button-response","65","null","470762","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-005.png","2","Bird","50-005.png"
"","5984","image-button-response","66","null","477250","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-009.png","10","Tree","7-009.png"
"","2761","image-button-response","67","null","480524","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-014.png","8","House","26-014.png"
"","6722","image-button-response","68","null","487747","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-012.png","0","Airplane","107-012.png"
"","16207","image-button-response","69","null","504461","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-014.png","5","Chair","107-014.png"
"","4026","image-button-response","70","null","509001","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-012.png","7","Hat","50-012.png"
"","5166","image-button-response","71","null","514673","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/68-010.png","3","Car","68-010.png"
"","3499","image-button-response","72","null","518677","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-011.png","6","Cup","50-011.png"
"","5729","image-button-response","73","null","524909","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-009.png","0","Airplane","6-009.png"
"","1527","image-button-response","74","null","526949","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","6406","image-button-response","75","null","533865","685c6ca90f751d3aae6b1794","685c6e2b1c62467d21efac09","5ede89af8514500fcbb214ba","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/6-011.png","10","Tree","6-011.png"
