"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":11834},{""page_index"":1,""viewing_time"":8019},{""page_index"":2,""viewing_time"":7042},{""page_index"":3,""viewing_time"":77176}]","104071","instructions","0","null","104083","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","","","","","","",""
"","3986","image-button-response","1","null","109089","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3397","image-button-response","2","null","112993","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","4583","image-button-response","3","null","118082","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-007.png","2","Bird","64-007.png"
"","5462","image-button-response","4","null","124049","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-007.png","5","Chair","89-007.png"
"","11592","image-button-response","5","null","136151","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-008.png","9","Rabbit","103-008.png"
"","2894","image-button-response","6","null","139560","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-014.png","1","Bicycle","103-014.png"
"","1831","image-button-response","7","null","141908","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-005.png","0","Airplane","103-005.png"
"","3180","image-button-response","8","null","145591","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-006.png","7","Hat","2-006.png"
"","2512","image-button-response","9","null","148616","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-016.png","9","Rabbit","57-016.png"
"","13109","image-button-response","10","null","162242","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-011.png","11","Watch","2-011.png"
"","7242","image-button-response","11","null","169988","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-008.png","0","Airplane","56-008.png"
"","2792","image-button-response","12","null","173282","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-013.png","7","Hat","64-013.png"
"","1639","image-button-response","13","null","175425","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","16817","image-button-response","14","null","192749","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-013.png","3","Car","57-013.png"
"","16611","image-button-response","15","null","209875","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-008.png","5","Chair","23-008.png"
"","3401","image-button-response","16","null","213790","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-005.png","5","Chair","2-005.png"
"","2017","image-button-response","17","null","216323","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-006.png","6","Cup","103-006.png"
"","1632","image-button-response","18","null","218456","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-009.png","7","Hat","103-009.png"
"","1582","image-button-response","19","null","220540","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-011.png","6","Cup","64-011.png"
"","27688","image-button-response","20","null","248733","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-006.png","10","Tree","23-006.png"
"","2526","image-button-response","21","null","251765","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-014.png","7","Hat","23-014.png"
"","7328","image-button-response","22","null","259597","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-011.png","0","Airplane","89-011.png"
"","1955","image-button-response","23","null","262053","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-010.png","6","Cup","57-010.png"
"","2586","image-button-response","24","null","265141","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-014.png","0","Airplane","89-014.png"
"","35710","image-button-response","25","null","301353","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-012.png","10","Tree","103-012.png"
"","11815","image-button-response","26","null","313675","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-014.png","2","Bird","2-014.png"
"","3028","image-button-response","27","null","317207","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-007.png","2","Bird","85-007.png"
"","4927","image-button-response","28","null","322645","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-015.png","4","Cat","2-015.png"
"","1930","image-button-response","29","null","325079","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-006.png","10","Tree","89-006.png"
"","2098","image-button-response","30","null","327687","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-014.png","0","Airplane","57-014.png"
"","2672","image-button-response","31","null","330871","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-012.png","5","Chair","64-012.png"
"","2880","image-button-response","32","null","334258","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-011.png","9","Rabbit","103-011.png"
"","19658","image-button-response","33","null","354430","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-010.png","5","Chair","64-010.png"
"","2813","image-button-response","34","null","357759","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-016.png","0","Airplane","64-016.png"
"","2327","image-button-response","35","null","360600","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-005.png","2","Bird","64-005.png"
"","2054","image-button-response","36","null","363169","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-009.png","11","Watch","64-009.png"
"","1345","image-button-response","37","null","365017","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-005.png","5","Chair","23-005.png"
"","1648","image-button-response","38","null","367179","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-007.png","7","Hat","57-007.png"
"","1545","image-button-response","39","null","369237","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-007.png","10","Tree","103-007.png"
"","1731","image-button-response","40","null","371471","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-015.png","2","Bird","103-015.png"
"","1537","image-button-response","41","null","373517","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-005.png","7","Hat","89-005.png"
"","1809","image-button-response","42","null","375829","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-013.png","5","Chair","103-013.png"
"","14642","image-button-response","43","null","390977","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-006.png","2","Bird","64-006.png"
"","6161","image-button-response","44","null","397645","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-016.png","4","Cat","89-016.png"
"","1825","image-button-response","45","null","399985","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-016.png","3","Car","103-016.png"
"","2393","image-button-response","46","null","402885","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-015.png","8","House","23-015.png"
"","1799","image-button-response","47","null","405193","685c6ca90f751d3aae6b1794","685c6df7b4da2effaa0d97ff","5f2eebd9d21e322a9ed68f09","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-006.png","11","Watch","57-006.png"
