"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":11348},{""page_index"":1,""viewing_time"":5543},{""page_index"":2,""viewing_time"":8408},{""page_index"":3,""viewing_time"":13202}]","38502","instructions","0","null","38521","685c6ca90f751d3aae6b1794","685c6e2348e3d224c945b560","5ffe3f18adbaca4ddb7e4006","","","","","","",""
"","3990","image-button-response","1","null","43517","685c6ca90f751d3aae6b1794","685c6e2348e3d224c945b560","5ffe3f18adbaca4ddb7e4006","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","5467","image-button-response","2","null","49488","685c6ca90f751d3aae6b1794","685c6e2348e3d224c945b560","5ffe3f18adbaca4ddb7e4006","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","4888","image-button-response","3","null","54894","685c6ca90f751d3aae6b1794","685c6e2348e3d224c945b560","5ffe3f18adbaca4ddb7e4006","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-009.png","1","Bicycle","106-009.png"
"","28615","image-button-response","4","null","84012","685c6ca90f751d3aae6b1794","685c6e2348e3d224c945b560","5ffe3f18adbaca4ddb7e4006","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-005.png","9","Rabbit","106-005.png"
"","3839","image-button-response","5","null","88354","685c6ca90f751d3aae6b1794","685c6e2348e3d224c945b560","5ffe3f18adbaca4ddb7e4006","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-006.png","0","Airplane","25-006.png"
"","6525","image-button-response","6","null","95390","685c6ca90f751d3aae6b1794","685c6e2348e3d224c945b560","5ffe3f18adbaca4ddb7e4006","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-014.png","0","Airplane","67-014.png"
"","15260","image-button-response","7","null","111154","685c6ca90f751d3aae6b1794","685c6e2348e3d224c945b560","5ffe3f18adbaca4ddb7e4006","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-007.png","0","Airplane","25-007.png"
"","28334","image-button-response","8","null","139990","685c6ca90f751d3aae6b1794","685c6e2348e3d224c945b560","5ffe3f18adbaca4ddb7e4006","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-015.png","2","Bird","5-015.png"
"","8915","image-button-response","9","null","149408","685c6ca90f751d3aae6b1794","685c6e2348e3d224c945b560","5ffe3f18adbaca4ddb7e4006","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-008.png","11","Watch","92-008.png"
