"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":15177},{""page_index"":1,""viewing_time"":4378},{""page_index"":2,""viewing_time"":4580},{""page_index"":3,""viewing_time"":2388}]","26523","instructions","0","null","26527","685c6ca90f751d3aae6b1794","685c6e62dc1164dcfc02740f","608bfa04767191aa4d57bfd8","","","","","","",""
"","1834","image-button-response","1","null","29378","685c6ca90f751d3aae6b1794","685c6e62dc1164dcfc02740f","608bfa04767191aa4d57bfd8","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1428","image-button-response","2","null","31312","685c6ca90f751d3aae6b1794","685c6e62dc1164dcfc02740f","608bfa04767191aa4d57bfd8","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","3915","image-button-response","3","null","35737","685c6ca90f751d3aae6b1794","685c6e62dc1164dcfc02740f","608bfa04767191aa4d57bfd8","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-016.png","5","Chair","10-016.png"
"","1710","image-button-response","4","null","37956","685c6ca90f751d3aae6b1794","685c6e62dc1164dcfc02740f","608bfa04767191aa4d57bfd8","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-015.png","8","House","54-015.png"
"","14769","image-button-response","5","null","53238","685c6ca90f751d3aae6b1794","685c6e62dc1164dcfc02740f","608bfa04767191aa4d57bfd8","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-006.png","9","Rabbit","71-006.png"
"","13098","image-button-response","6","null","66841","685c6ca90f751d3aae6b1794","685c6e62dc1164dcfc02740f","608bfa04767191aa4d57bfd8","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-009.png","8","House","10-009.png"
"","22030","image-button-response","7","null","89390","685c6ca90f751d3aae6b1794","685c6e62dc1164dcfc02740f","608bfa04767191aa4d57bfd8","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-012.png","4","Cat","10-012.png"
"","5719","image-button-response","8","null","95625","685c6ca90f751d3aae6b1794","685c6e62dc1164dcfc02740f","608bfa04767191aa4d57bfd8","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-010.png","10","Tree","30-010.png"
"","1653","image-button-response","9","null","97786","685c6ca90f751d3aae6b1794","685c6e62dc1164dcfc02740f","608bfa04767191aa4d57bfd8","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
