"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":26820},{""page_index"":1,""viewing_time"":17854},{""page_index"":2,""viewing_time"":8230},{""page_index"":3,""viewing_time"":14857}]","67761","instructions","0","null","67767","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","","","","","","",""
"","3154","image-button-response","1","null","71938","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1949","image-button-response","2","null","74403","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","23038","image-button-response","3","null","97945","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-014.png","3","Car","64-014.png"
"","3050","image-button-response","4","null","101509","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-009.png","5","Chair","57-009.png"
"","3405","image-button-response","5","null","105419","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-007.png","2","Bird","64-007.png"
"","2594","image-button-response","6","null","108524","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-016.png","3","Car","2-016.png"
"","13158","image-button-response","7","null","122195","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-008.png","1","Bicycle","23-008.png"
"","5894","image-button-response","8","null","128591","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-005.png","5","Chair","2-005.png"
"","1666","image-button-response","9","null","130759","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-012.png","3","Car","2-012.png"
"","2327","image-button-response","10","null","133596","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-005.png","0","Airplane","103-005.png"
"","3475","image-button-response","11","null","137584","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-013.png","6","Cup","23-013.png"
"","1333","image-button-response","12","null","139422","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-015.png","2","Bird","103-015.png"
"","2206","image-button-response","13","null","142136","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-011.png","0","Airplane","23-011.png"
"","2372","image-button-response","14","null","145009","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-009.png","11","Watch","89-009.png"
"","3630","image-button-response","15","null","149144","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-013.png","3","Car","57-013.png"
"","6231","image-button-response","16","null","155882","685c6ca90f751d3aae6b1794","685c6e07ea17de195ed062e4","60df4ddc673cac54d4858b00","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-016.png","3","Car","23-016.png"
