"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":4293},{""page_index"":1,""viewing_time"":5392},{""page_index"":2,""viewing_time"":6832},{""page_index"":3,""viewing_time"":18740}]","35258","instructions","0","null","35271","685c6ca90f751d3aae6b1794","685c6df7406803f815cc5a33","60dfd857e293a99dd577f4c8","","","","","","",""
"","2559","image-button-response","1","null","38840","685c6ca90f751d3aae6b1794","685c6df7406803f815cc5a33","60dfd857e293a99dd577f4c8","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2028","image-button-response","2","null","41371","685c6ca90f751d3aae6b1794","685c6df7406803f815cc5a33","60dfd857e293a99dd577f4c8","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","14772","image-button-response","3","null","56648","685c6ca90f751d3aae6b1794","685c6df7406803f815cc5a33","60dfd857e293a99dd577f4c8","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-016.png","10","Tree","62-016.png"
"","18000","image-button-response","4","null","75153","685c6ca90f751d3aae6b1794","685c6df7406803f815cc5a33","60dfd857e293a99dd577f4c8","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-011.png","2","Bird","56-011.png"
"","17236","image-button-response","5","null","92894","685c6ca90f751d3aae6b1794","685c6df7406803f815cc5a33","60dfd857e293a99dd577f4c8","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-005.png","4","Cat","22-005.png"
"","7107","image-button-response","6","null","100506","685c6ca90f751d3aae6b1794","685c6df7406803f815cc5a33","60dfd857e293a99dd577f4c8","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-006.png","5","Chair","22-006.png"
"","5004","image-button-response","7","null","106014","685c6ca90f751d3aae6b1794","685c6df7406803f815cc5a33","60dfd857e293a99dd577f4c8","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-007.png","5","Chair","62-007.png"
"","10013","image-button-response","8","null","116530","685c6ca90f751d3aae6b1794","685c6df7406803f815cc5a33","60dfd857e293a99dd577f4c8","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-013.png","5","Chair","62-013.png"
"","20409","image-button-response","9","null","137445","685c6ca90f751d3aae6b1794","685c6df7406803f815cc5a33","60dfd857e293a99dd577f4c8","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-008.png","4","Cat","85-008.png"
"","12651","image-button-response","10","null","150601","685c6ca90f751d3aae6b1794","685c6df7406803f815cc5a33","60dfd857e293a99dd577f4c8","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-013.png","4","Cat","60-013.png"
"","19165","image-button-response","11","null","170272","685c6ca90f751d3aae6b1794","685c6df7406803f815cc5a33","60dfd857e293a99dd577f4c8","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-005.png","6","Cup","56-005.png"
"","23598","image-button-response","12","null","194374","685c6ca90f751d3aae6b1794","685c6df7406803f815cc5a33","60dfd857e293a99dd577f4c8","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-008.png","2","Bird","20-008.png"
