"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":2745},{""page_index"":1,""viewing_time"":5282},{""page_index"":2,""viewing_time"":2883},{""page_index"":3,""viewing_time"":1550}]","12460","instructions","0","null","12470","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","","","","","","",""
"","2878","image-button-response","1","null","16354","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1662","image-button-response","2","null","18518","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","4497","image-button-response","3","null","23519","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-015.png","4","Cat","31-015.png"
"","1647","image-button-response","4","null","25670","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-007.png","4","Cat","31-007.png"
"","3896","image-button-response","5","null","30070","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-007.png","1","Bicycle","12-007.png"
"","4645","image-button-response","6","null","35218","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-013.png","5","Chair","55-013.png"
"","1299","image-button-response","7","null","37019","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-012.png","5","Chair","12-012.png"
"","2780","image-button-response","8","null","40304","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-016.png","10","Tree","11-016.png"
"","2479","image-button-response","9","null","43287","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-014.png","2","Bird","99-014.png"
"","1846","image-button-response","10","null","45636","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-007.png","1","Bicycle","73-007.png"
"","1763","image-button-response","11","null","47903","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-011.png","5","Chair","98-011.png"
"","4713","image-button-response","12","null","53120","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-012.png","8","House","72-012.png"
"","2895","image-button-response","13","null","56518","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-008.png","0","Airplane","12-008.png"
"","1714","image-button-response","14","null","58735","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-010.png","3","Car","41-010.png"
"","2299","image-button-response","15","null","61537","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-005.png","0","Airplane","73-005.png"
"","1646","image-button-response","16","null","63687","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-008.png","5","Chair","112-008.png"
"","1231","image-button-response","17","null","65420","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-011.png","5","Chair","73-011.png"
"","2398","image-button-response","18","null","68320","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-008.png","7","Hat","113-008.png"
"","1814","image-button-response","19","null","70637","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-010.png","10","Tree","98-010.png"
"","2480","image-button-response","20","null","73620","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-009.png","2","Bird","112-009.png"
"","3530","image-button-response","21","null","77654","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-011.png","9","Rabbit","12-011.png"
"","1879","image-button-response","22","null","80035","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-016.png","4","Cat","112-016.png"
"","2999","image-button-response","23","null","83537","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-008.png","4","Cat","55-008.png"
"","2597","image-button-response","24","null","86636","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-009.png","10","Tree","55-009.png"
"","2779","image-button-response","25","null","89919","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-009.png","4","Cat","73-009.png"
"","1897","image-button-response","26","null","92318","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-015.png","4","Cat","12-015.png"
"","2041","image-button-response","27","null","94861","685c6ca90f751d3aae6b1794","685c6e36d18027ea53ce3e78","60fd6618f9a377f54dcdf318","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-010.png","8","House","99-010.png"
