"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":19429},{""page_index"":1,""viewing_time"":3812},{""page_index"":2,""viewing_time"":8192},{""page_index"":3,""viewing_time"":62712}]","94145","instructions","0","null","94151","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","","","","","","",""
"","17653","image-button-response","1","null","112810","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1679","image-button-response","2","null","114992","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","2576","image-button-response","3","null","118071","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-011.png","4","Cat","95-011.png"
"","2218","image-button-response","4","null","120793","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-011.png","3","Car","70-011.png"
"","7576","image-button-response","5","null","128872","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-009.png","10","Tree","109-009.png"
"","5459","image-button-response","6","null","134834","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-010.png","6","Cup","28-010.png"
"","4009","image-button-response","7","null","139347","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-010.png","5","Chair","109-010.png"
"","10614","image-button-response","8","null","150464","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-010.png","5","Chair","53-010.png"
"","9858","image-button-response","9","null","160825","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-008.png","0","Airplane","54-008.png"
"","3177","image-button-response","10","null","164505","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-016.png","8","House","110-016.png"
"","9831","image-button-response","11","null","174838","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-008.png","2","Bird","96-008.png"
"","2526","image-button-response","12","null","177866","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-013.png","2","Bird","28-013.png"
"","8067","image-button-response","13","null","186438","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-006.png","5","Chair","8-006.png"
"","1985","image-button-response","14","null","188925","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-013.png","5","Chair","70-013.png"
"","2430","image-button-response","15","null","191858","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","2710","image-button-response","16","null","195071","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-007.png","5","Chair","9-007.png"
"","2081","image-button-response","17","null","197654","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-006.png","11","Watch","109-006.png"
"","2468","image-button-response","18","null","200625","685c6ca90f751d3aae6b1794","685c6e48484a5a0343f2a0ef","6109917749b14701436e49f9","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-013.png","5","Chair","8-013.png"
