"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":8462},{""page_index"":1,""viewing_time"":6333},{""page_index"":2,""viewing_time"":12867},{""page_index"":3,""viewing_time"":13067}]","40729","instructions","0","null","40738","685c6ca90f751d3aae6b1794","685c6e1c305cdb7beabee424","6113ffbf45e79bc2769db74c","","","","","","",""
"","3810","image-button-response","1","null","45556","685c6ca90f751d3aae6b1794","685c6e1c305cdb7beabee424","6113ffbf45e79bc2769db74c","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","5404","image-button-response","2","null","51471","685c6ca90f751d3aae6b1794","685c6e1c305cdb7beabee424","6113ffbf45e79bc2769db74c","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","5164","image-button-response","3","null","57139","685c6ca90f751d3aae6b1794","685c6e1c305cdb7beabee424","6113ffbf45e79bc2769db74c","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-011.png","5","Chair","71-011.png"
"","6329","image-button-response","4","null","63972","685c6ca90f751d3aae6b1794","685c6e1c305cdb7beabee424","6113ffbf45e79bc2769db74c","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-012.png","3","Car","111-012.png"
"","18095","image-button-response","5","null","82571","685c6ca90f751d3aae6b1794","685c6e1c305cdb7beabee424","6113ffbf45e79bc2769db74c","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-016.png","11","Watch","53-016.png"
"","4265","image-button-response","6","null","87338","685c6ca90f751d3aae6b1794","685c6e1c305cdb7beabee424","6113ffbf45e79bc2769db74c","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-006.png","0","Airplane","99-006.png"
"","3680","image-button-response","7","null","91521","685c6ca90f751d3aae6b1794","685c6e1c305cdb7beabee424","6113ffbf45e79bc2769db74c","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-015.png","0","Airplane","112-015.png"
"","3813","image-button-response","8","null","95838","685c6ca90f751d3aae6b1794","685c6e1c305cdb7beabee424","6113ffbf45e79bc2769db74c","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-007.png","5","Chair","54-007.png"
"","19747","image-button-response","9","null","116088","685c6ca90f751d3aae6b1794","685c6e1c305cdb7beabee424","6113ffbf45e79bc2769db74c","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-009.png","3","Car","71-009.png"
