"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":11120},{""page_index"":1,""viewing_time"":5904},{""page_index"":2,""viewing_time"":5714},{""page_index"":3,""viewing_time"":11793}]","34531","instructions","0","null","34543","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","","","","","","",""
"","3282","image-button-response","1","null","38832","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1732","image-button-response","2","null","41072","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","22090","image-button-response","3","null","63670","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-007.png","10","Tree","33-007.png"
"","7113","image-button-response","4","null","71296","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-010.png","5","Chair","73-010.png"
"","22092","image-button-response","5","null","93888","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-005.png","2","Bird","11-005.png"
"","10518","image-button-response","6","null","104896","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-010.png","2","Bird","98-010.png"
"","9108","image-button-response","7","null","114504","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-009.png","1","Bicycle","42-009.png"
"","20443","image-button-response","8","null","135452","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-007.png","4","Cat","98-007.png"
"","10253","image-button-response","9","null","146211","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-013.png","9","Rabbit","31-013.png"
"","10082","image-button-response","10","null","156805","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-014.png","1","Bicycle","114-014.png"
"","15638","image-button-response","11","null","172955","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-011.png","6","Cup","15-011.png"
"","10791","image-button-response","12","null","184261","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-007.png","9","Rabbit","11-007.png"
"","22290","image-button-response","13","null","207060","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-006.png","4","Cat","112-006.png"
"","13263","image-button-response","14","null","220836","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-007.png","0","Airplane","72-007.png"
"","16554","image-button-response","15","null","237900","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-009.png","4","Cat","74-009.png"
"","2629","image-button-response","16","null","241036","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-014.png","0","Airplane","81-014.png"
"","4810","image-button-response","17","null","246357","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-011.png","6","Cup","14-011.png"
"","8264","image-button-response","18","null","255132","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-006.png","2","Bird","33-006.png"
"","10123","image-button-response","19","null","265764","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-015.png","3","Car","113-015.png"
"","4003","image-button-response","20","null","270274","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-005.png","4","Cat","99-005.png"
"","4466","image-button-response","21","null","275253","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-014.png","0","Airplane","11-014.png"
"","11782","image-button-response","22","null","287549","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-009.png","2","Bird","33-009.png"
"","2577","image-button-response","23","null","290634","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-014.png","4","Cat","32-014.png"
"","14560","image-button-response","24","null","305700","685c6ca90f751d3aae6b1794","685c6e7e9767283e6f2fed86","61153c071ccdfd766abb5980","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-016.png","0","Airplane","11-016.png"
