"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":16645},{""page_index"":1,""viewing_time"":3679},{""page_index"":2,""viewing_time"":2911},{""page_index"":3,""viewing_time"":3732}]","26968","instructions","0","null","27006","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","","","","","","",""
"","4474","image-button-response","1","null","32496","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1323","image-button-response","2","null","34333","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","6963","image-button-response","3","null","41803","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-006.png","3","Car","98-006.png"
"","20836","image-button-response","4","null","63146","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-016.png","11","Watch","53-016.png"
"","5142","image-button-response","5","null","68801","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-011.png","2","Bird","53-011.png"
"","8952","image-button-response","6","null","78262","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-012.png","9","Rabbit","96-012.png"
"","2471","image-button-response","7","null","81244","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-013.png","8","House","30-013.png"
"","2609","image-button-response","8","null","84360","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-007.png","5","Chair","54-007.png"
"","2279","image-button-response","9","null","87144","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-015.png","2","Bird","29-015.png"
"","2578","image-button-response","10","null","90227","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-010.png","0","Airplane","54-010.png"
"","2219","image-button-response","11","null","92959","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-005.png","8","House","70-005.png"
"","2516","image-button-response","12","null","95981","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-011.png","5","Chair","71-011.png"
"","3375","image-button-response","13","null","99866","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-007.png","6","Cup","71-007.png"
"","7737","image-button-response","14","null","108112","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-009.png","5","Chair","71-009.png"
"","3633","image-button-response","15","null","112261","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-006.png","1","Bicycle","55-006.png"
"","6611","image-button-response","16","null","119388","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-006.png","7","Hat","71-006.png"
"","5478","image-button-response","17","null","125384","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-009.png","5","Chair","97-009.png"
"","10501","image-button-response","18","null","136401","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-007.png","2","Bird","31-007.png"
"","6806","image-button-response","19","null","143718","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-013.png","7","Hat","111-013.png"
"","4506","image-button-response","20","null","148742","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-005.png","11","Watch","110-005.png"
"","2729","image-button-response","21","null","151979","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-005.png","0","Airplane","41-005.png"
"","3173","image-button-response","22","null","155657","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-010.png","1","Bicycle","112-010.png"
"","12565","image-button-response","23","null","168728","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-011.png","10","Tree","10-011.png"
"","2824","image-button-response","24","null","172069","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-005.png","0","Airplane","73-005.png"
"","2399","image-button-response","25","null","174972","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-010.png","5","Chair","30-010.png"
"","2198","image-button-response","26","null","177679","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-015.png","10","Tree","30-015.png"
"","2495","image-button-response","27","null","180683","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-015.png","10","Tree","70-015.png"
"","2750","image-button-response","28","null","183945","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-005.png","7","Hat","97-005.png"
"","4194","image-button-response","29","null","188645","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-008.png","1","Bicycle","10-008.png"
"","3088","image-button-response","30","null","192242","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-016.png","3","Car","30-016.png"
"","2381","image-button-response","31","null","195135","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-015.png","0","Airplane","112-015.png"
"","2779","image-button-response","32","null","198430","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-005.png","5","Chair","111-005.png"
"","4532","image-button-response","33","null","203468","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-011.png","0","Airplane","11-011.png"
"","3180","image-button-response","34","null","207154","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-013.png","6","Cup","54-013.png"
"","3827","image-button-response","35","null","211485","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-006.png","9","Rabbit","70-006.png"
"","4893","image-button-response","36","null","216882","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-011.png","8","House","97-011.png"
"","4845","image-button-response","37","null","222236","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-008.png","0","Airplane","12-008.png"
"","6406","image-button-response","38","null","229158","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-011.png","4","Cat","112-011.png"
"","9031","image-button-response","39","null","238693","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-014.png","9","Rabbit","53-014.png"
"","7835","image-button-response","40","null","247047","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-013.png","6","Cup","110-013.png"
"","6605","image-button-response","41","null","254164","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-012.png","2","Bird","53-012.png"
"","7604","image-button-response","42","null","262277","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-006.png","4","Cat","96-006.png"
"","7806","image-button-response","43","null","270592","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-010.png","6","Cup","96-010.png"
"","6335","image-button-response","44","null","277437","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-014.png","7","Hat","9-014.png"
"","4161","image-button-response","45","null","282117","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-016.png","5","Chair","10-016.png"
"","2531","image-button-response","46","null","285167","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-013.png","9","Rabbit","29-013.png"
"","5039","image-button-response","47","null","290712","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-009.png","3","Car","32-009.png"
"","4767","image-button-response","48","null","295997","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-008.png","9","Rabbit","110-008.png"
"","3633","image-button-response","49","null","300147","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-005.png","10","Tree","96-005.png"
"","7541","image-button-response","50","null","308205","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-005.png","4","Cat","9-005.png"
"","9027","image-button-response","51","null","317743","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-015.png","8","House","53-015.png"
"","7466","image-button-response","52","null","325717","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-005.png","2","Bird","10-005.png"
"","6928","image-button-response","53","null","333157","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-016.png","4","Cat","111-016.png"
"","3011","image-button-response","54","null","336676","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-016.png","11","Watch","96-016.png"
"","2897","image-button-response","55","null","340085","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-009.png","11","Watch","30-009.png"
"","7408","image-button-response","56","null","348006","685c6ca90f751d3aae6b1794","685c6e5dc87a6a4df7f8c7b6","615921b85071b9caef6148d8","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-007.png","1","Bicycle","12-007.png"
