"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":4615},{""page_index"":1,""viewing_time"":51966},{""page_index"":2,""viewing_time"":4850},{""page_index"":3,""viewing_time"":3433}]","64864","instructions","0","null","64889","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","","","","","","",""
"","3597","image-button-response","1","null","69490","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3795","image-button-response","2","null","73790","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","5063","image-button-response","3","null","79357","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-007.png","5","Chair","54-007.png"
"","12280","image-button-response","4","null","92141","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-006.png","5","Chair","9-006.png"
"","3012","image-button-response","5","null","95656","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-016.png","11","Watch","96-016.png"
"","25014","image-button-response","6","null","121173","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-014.png","5","Chair","30-014.png"
"","14564","image-button-response","7","null","136239","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-014.png","0","Airplane","100-014.png"
"","10965","image-button-response","8","null","147709","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-006.png","6","Cup","71-006.png"
"","2893","image-button-response","9","null","151106","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-009.png","5","Chair","97-009.png"
"","1997","image-button-response","10","null","153606","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-011.png","6","Cup","30-011.png"
"","1198","image-button-response","11","null","155306","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","17499","image-button-response","12","null","173306","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-012.png","2","Bird","53-012.png"
"","3014","image-button-response","13","null","176823","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-007.png","1","Bicycle","73-007.png"
"","2597","image-button-response","14","null","179923","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-011.png","1","Bicycle","113-011.png"
"","3998","image-button-response","15","null","184423","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-005.png","8","House","70-005.png"
"","11148","image-button-response","16","null","196073","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/10-005.png","7","Hat","10-005.png"
"","6749","image-button-response","17","null","203324","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-011.png","11","Watch","55-011.png"
"","2013","image-button-response","18","null","205839","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-015.png","10","Tree","30-015.png"
"","2348","image-button-response","19","null","208689","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-012.png","4","Cat","32-012.png"
"","1915","image-button-response","20","null","211106","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-005.png","5","Chair","111-005.png"
"","2297","image-button-response","21","null","213906","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-007.png","6","Cup","71-007.png"
"","1647","image-button-response","22","null","216056","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-011.png","8","House","97-011.png"
"","12765","image-button-response","23","null","229323","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-005.png","7","Hat","97-005.png"
"","2380","image-button-response","24","null","232206","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-014.png","8","House","111-014.png"
"","28816","image-button-response","25","null","261525","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-008.png","4","Cat","11-008.png"
"","3396","image-button-response","26","null","265423","685c6ca90f751d3aae6b1794","685c6e71b31bc7db345f0fc2","62a889993e01c9e01ee7066e","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-016.png","11","Watch","70-016.png"
