"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":13046},{""page_index"":1,""viewing_time"":16246},{""page_index"":2,""viewing_time"":6440},{""page_index"":3,""viewing_time"":8653}]","44385","instructions","0","null","44393","685c6ca90f751d3aae6b1794","685c6e1bc812e97c250afee5","62b7a7e776f241c59cf27ac9","","","","","","",""
"","3090","image-button-response","1","null","48490","685c6ca90f751d3aae6b1794","685c6e1bc812e97c250afee5","62b7a7e776f241c59cf27ac9","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2097","image-button-response","2","null","51089","685c6ca90f751d3aae6b1794","685c6e1bc812e97c250afee5","62b7a7e776f241c59cf27ac9","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","12396","image-button-response","3","null","63986","685c6ca90f751d3aae6b1794","685c6e1bc812e97c250afee5","62b7a7e776f241c59cf27ac9","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-011.png","2","Bird","66-011.png"
"","1764","image-button-response","4","null","66257","685c6ca90f751d3aae6b1794","685c6e1bc812e97c250afee5","62b7a7e776f241c59cf27ac9","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-011.png","0","Airplane","59-011.png"
"","1376","image-button-response","5","null","68135","685c6ca90f751d3aae6b1794","685c6e1bc812e97c250afee5","62b7a7e776f241c59cf27ac9","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-008.png","6","Cup","104-008.png"
"","2612","image-button-response","6","null","71254","685c6ca90f751d3aae6b1794","685c6e1bc812e97c250afee5","62b7a7e776f241c59cf27ac9","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-007.png","2","Bird","105-007.png"
"","3002","image-button-response","7","null","74757","685c6ca90f751d3aae6b1794","685c6e1bc812e97c250afee5","62b7a7e776f241c59cf27ac9","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-005.png","11","Watch","104-005.png"
"","11621","image-button-response","8","null","86880","685c6ca90f751d3aae6b1794","685c6e1bc812e97c250afee5","62b7a7e776f241c59cf27ac9","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-010.png","9","Rabbit","105-010.png"
"","2899","image-button-response","9","null","90280","685c6ca90f751d3aae6b1794","685c6e1bc812e97c250afee5","62b7a7e776f241c59cf27ac9","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-014.png","5","Chair","105-014.png"
