"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":1517},{""page_index"":1,""viewing_time"":823},{""page_index"":2,""viewing_time"":1086},{""page_index"":3,""viewing_time"":1289}]","4716","instructions","0","null","4746","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","","","","","","",""
"","1985","image-button-response","1","null","7750","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1037","image-button-response","2","null","9296","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","2405","image-button-response","3","null","12210","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-013.png","10","Tree","24-013.png"
"","2524","image-button-response","4","null","15240","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/19-012.png","10","Tree","19-012.png"
"","2802","image-button-response","5","null","18552","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-012.png","6","Cup","5-012.png"
"","2737","image-button-response","6","null","21797","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-006.png","8","House","32-006.png"
"","2324","image-button-response","7","null","24627","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-008.png","2","Bird","60-008.png"
"","2350","image-button-response","8","null","27485","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-013.png","5","Chair","103-013.png"
"","12041","image-button-response","9","null","40065","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-006.png","5","Chair","21-006.png"
"","2424","image-button-response","10","null","42996","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-006.png","11","Watch","44-006.png"
"","1776","image-button-response","11","null","45280","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-009.png","4","Cat","73-009.png"
"","2801","image-button-response","12","null","48588","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-013.png","4","Cat","5-013.png"
"","1910","image-button-response","13","null","51005","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-013.png","3","Car","108-013.png"
"","2372","image-button-response","14","null","53884","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-009.png","8","House","67-009.png"
"","2639","image-button-response","15","null","57029","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-007.png","2","Bird","53-007.png"
"","1915","image-button-response","16","null","59449","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-005.png","2","Bird","119-005.png"
"","1624","image-button-response","17","null","61580","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-007.png","3","Car","65-007.png"
"","2084","image-button-response","18","null","64170","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-016.png","0","Airplane","64-016.png"
"","3699","image-button-response","19","null","68375","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-007.png","6","Cup","48-007.png"
"","2182","image-button-response","20","null","71064","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-009.png","5","Chair","92-009.png"
"","2117","image-button-response","21","null","73688","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-016.png","11","Watch","35-016.png"
"","2571","image-button-response","22","null","76765","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-005.png","3","Car","60-005.png"
"","2951","image-button-response","23","null","80222","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-013.png","5","Chair","20-013.png"
"","6504","image-button-response","24","null","87232","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/83-008.png","2","Bird","83-008.png"
"","6593","image-button-response","25","null","94332","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-006.png","11","Watch","20-006.png"
"","3721","image-button-response","26","null","98560","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-005.png","7","Hat","89-005.png"
"","6247","image-button-response","27","null","105314","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-010.png","7","Hat","57-010.png"
"","2932","image-button-response","28","null","108751","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/83-015.png","0","Airplane","83-015.png"
"","3220","image-button-response","29","null","112477","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-010.png","2","Bird","63-010.png"
"","1806","image-button-response","30","null","114790","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-010.png","10","Tree","61-010.png"
"","3023","image-button-response","31","null","118318","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-009.png","3","Car","108-009.png"
"","5754","image-button-response","32","null","124578","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-005.png","11","Watch","88-005.png"
"","2491","image-button-response","33","null","127576","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-010.png","6","Cup","96-010.png"
"","2801","image-button-response","34","null","130884","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-011.png","11","Watch","17-011.png"
"","4829","image-button-response","35","null","136219","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-015.png","0","Airplane","109-015.png"
"","2108","image-button-response","36","null","138833","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-016.png","6","Cup","61-016.png"
"","5489","image-button-response","37","null","144829","685c6ca90f751d3aae6b1794","685c6e14bed24f6c3499ecf2","62e029ff528ea30b4508eaf5","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-016.png","10","Tree","39-016.png"
