"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":12401},{""page_index"":1,""viewing_time"":7145},{""page_index"":2,""viewing_time"":6672},{""page_index"":3,""viewing_time"":12816}]","39035","instructions","0","null","39057","685c6ca90f751d3aae6b1794","685c6e34e2423dfdd5479e9f","62e641e757a7c8640079fbd9","","","","","","",""
"","3005","image-button-response","1","null","43090","685c6ca90f751d3aae6b1794","685c6e34e2423dfdd5479e9f","62e641e757a7c8640079fbd9","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3215","image-button-response","2","null","46824","685c6ca90f751d3aae6b1794","685c6e34e2423dfdd5479e9f","62e641e757a7c8640079fbd9","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","12510","image-button-response","3","null","59848","685c6ca90f751d3aae6b1794","685c6e34e2423dfdd5479e9f","62e641e757a7c8640079fbd9","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-009.png","4","Cat","108-009.png"
"","8988","image-button-response","4","null","69344","685c6ca90f751d3aae6b1794","685c6e34e2423dfdd5479e9f","62e641e757a7c8640079fbd9","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-007.png","10","Tree","8-007.png"
"","4710","image-button-response","5","null","74575","685c6ca90f751d3aae6b1794","685c6e34e2423dfdd5479e9f","62e641e757a7c8640079fbd9","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-007.png","5","Chair","108-007.png"
"","4241","image-button-response","6","null","79334","685c6ca90f751d3aae6b1794","685c6e34e2423dfdd5479e9f","62e641e757a7c8640079fbd9","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-007.png","0","Airplane","27-007.png"
"","7278","image-button-response","7","null","87120","685c6ca90f751d3aae6b1794","685c6e34e2423dfdd5479e9f","62e641e757a7c8640079fbd9","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-013.png","8","House","7-013.png"
"","28141","image-button-response","8","null","115776","685c6ca90f751d3aae6b1794","685c6e34e2423dfdd5479e9f","62e641e757a7c8640079fbd9","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-015.png","5","Chair","7-015.png"
"","9893","image-button-response","9","null","126174","685c6ca90f751d3aae6b1794","685c6e34e2423dfdd5479e9f","62e641e757a7c8640079fbd9","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-006.png","7","Hat","108-006.png"
"","4647","image-button-response","10","null","131328","685c6ca90f751d3aae6b1794","685c6e34e2423dfdd5479e9f","62e641e757a7c8640079fbd9","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-016.png","8","House","94-016.png"
"","2089","image-button-response","11","null","133928","685c6ca90f751d3aae6b1794","685c6e34e2423dfdd5479e9f","62e641e757a7c8640079fbd9","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-011.png","5","Chair","27-011.png"
