"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":104556},{""page_index"":1,""viewing_time"":9154},{""page_index"":2,""viewing_time"":7245},{""page_index"":3,""viewing_time"":14079}]","135034","instructions","0","null","135037","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","","","","","","",""
"","5131","image-button-response","1","null","141190","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1807","image-button-response","2","null","143513","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","3887","image-button-response","3","null","147909","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-008.png","2","Bird","60-008.png"
"","25515","image-button-response","4","null","173938","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-012.png","11","Watch","48-012.png"
"","29494","image-button-response","5","null","203951","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-010.png","11","Watch","13-010.png"
"","11668","image-button-response","6","null","216131","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-011.png","4","Cat","39-011.png"
"","5694","image-button-response","7","null","222334","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-009.png","10","Tree","7-009.png"
"","8554","image-button-response","8","null","231397","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-010.png","7","Hat","104-010.png"
"","38476","image-button-response","9","null","270383","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-014.png","6","Cup","9-014.png"
"","5130","image-button-response","10","null","276030","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-014.png","6","Cup","42-014.png"
"","4522","image-button-response","11","null","281059","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-014.png","4","Cat","72-014.png"
"","7006","image-button-response","12","null","288574","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-006.png","4","Cat","87-006.png"
"","22663","image-button-response","13","null","311748","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-015.png","10","Tree","31-015.png"
"","11010","image-button-response","14","null","323272","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-011.png","3","Car","32-011.png"
"","2892","image-button-response","15","null","326668","685c6ca90f751d3aae6b1794","685c720e1ed63af98e05ac2c","63052f20afc39e87110eb83e","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-009.png","8","House","65-009.png"
