"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":8407},{""page_index"":1,""viewing_time"":1849},{""page_index"":2,""viewing_time"":2450},{""page_index"":3,""viewing_time"":4519}]","17225","instructions","0","null","17262","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","","","","","","",""
"","3315","image-button-response","1","null","21594","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1551","image-button-response","2","null","23661","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","8783","image-button-response","3","null","32954","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-015.png","11","Watch","71-015.png"
"","6520","image-button-response","4","null","39976","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-005.png","0","Airplane","43-005.png"
"","6184","image-button-response","5","null","46674","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-011.png","4","Cat","41-011.png"
"","3617","image-button-response","6","null","50795","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-010.png","5","Chair","31-010.png"
"","3875","image-button-response","7","null","55173","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-010.png","11","Watch","97-010.png"
"","15390","image-button-response","8","null","71065","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-009.png","4","Cat","33-009.png"
"","9647","image-button-response","9","null","81222","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-011.png","8","House","72-011.png"
"","2857","image-button-response","10","null","84596","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-007.png","8","House","112-007.png"
"","2964","image-button-response","11","null","88072","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-009.png","6","Cup","112-009.png"
"","2634","image-button-response","12","null","91210","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-010.png","5","Chair","73-010.png"
"","5157","image-button-response","13","null","96868","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-006.png","0","Airplane","35-006.png"
"","3346","image-button-response","14","null","100728","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-015.png","2","Bird","114-015.png"
"","5096","image-button-response","15","null","106341","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-006.png","9","Rabbit","74-006.png"
"","12067","image-button-response","16","null","118920","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-013.png","2","Bird","13-013.png"
"","8644","image-button-response","17","null","128076","685c6ca90f751d3aae6b1794","685c6e7eb9230a2b8761dbcb","632d68dde8d04677f58d963c","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-006.png","4","Cat","113-006.png"
