"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":7266},{""page_index"":1,""viewing_time"":4261},{""page_index"":2,""viewing_time"":4736},{""page_index"":3,""viewing_time"":8635}]","24899","instructions","0","null","24906","685c6ca90f751d3aae6b1794","685c6e09d00acf743324c19e","63a9a8f2f098b7e45bd03721","","","","","","",""
"","3597","image-button-response","1","null","29525","685c6ca90f751d3aae6b1794","685c6e09d00acf743324c19e","63a9a8f2f098b7e45bd03721","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1717","image-button-response","2","null","31753","685c6ca90f751d3aae6b1794","685c6e09d00acf743324c19e","63a9a8f2f098b7e45bd03721","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","4666","image-button-response","3","null","36932","685c6ca90f751d3aae6b1794","685c6e09d00acf743324c19e","63a9a8f2f098b7e45bd03721","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-009.png","5","Chair","57-009.png"
"","9363","image-button-response","4","null","46801","685c6ca90f751d3aae6b1794","685c6e09d00acf743324c19e","63a9a8f2f098b7e45bd03721","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-007.png","6","Cup","2-007.png"
"","3221","image-button-response","5","null","50528","685c6ca90f751d3aae6b1794","685c6e09d00acf743324c19e","63a9a8f2f098b7e45bd03721","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-007.png","10","Tree","103-007.png"
"","2512","image-button-response","6","null","53562","685c6ca90f751d3aae6b1794","685c6e09d00acf743324c19e","63a9a8f2f098b7e45bd03721","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","2890","image-button-response","7","null","56969","685c6ca90f751d3aae6b1794","685c6e09d00acf743324c19e","63a9a8f2f098b7e45bd03721","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-006.png","10","Tree","89-006.png"
"","15579","image-button-response","8","null","73051","685c6ca90f751d3aae6b1794","685c6e09d00acf743324c19e","63a9a8f2f098b7e45bd03721","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-007.png","7","Hat","23-007.png"
"","4316","image-button-response","9","null","77880","685c6ca90f751d3aae6b1794","685c6e09d00acf743324c19e","63a9a8f2f098b7e45bd03721","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-015.png","2","Bird","103-015.png"
"","2306","image-button-response","10","null","80692","685c6ca90f751d3aae6b1794","685c6e09d00acf743324c19e","63a9a8f2f098b7e45bd03721","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-016.png","3","Car","2-016.png"
"","4460","image-button-response","11","null","85658","685c6ca90f751d3aae6b1794","685c6e09d00acf743324c19e","63a9a8f2f098b7e45bd03721","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-016.png","4","Cat","89-016.png"
