"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":13195},{""page_index"":1,""viewing_time"":3549},{""page_index"":2,""viewing_time"":14200},{""page_index"":3,""viewing_time"":9516}]","40460","instructions","0","null","40472","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","","","","","","",""
"","2909","image-button-response","1","null","44389","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2696","image-button-response","2","null","47589","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","8010","image-button-response","3","null","56103","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-008.png","2","Bird","12-008.png"
"","4349","image-button-response","4","null","60955","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-012.png","6","Cup","8-012.png"
"","10780","image-button-response","5","null","72239","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-006.png","1","Bicycle","31-006.png"
"","4397","image-button-response","6","null","77140","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-013.png","5","Chair","70-013.png"
"","6597","image-button-response","7","null","84239","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-016.png","4","Cat","95-016.png"
"","3497","image-button-response","8","null","88239","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-015.png","10","Tree","28-015.png"
"","2095","image-button-response","9","null","90839","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-006.png","1","Bicycle","97-006.png"
"","5180","image-button-response","10","null","96522","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-011.png","10","Tree","8-011.png"
"","1998","image-button-response","11","null","99022","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-013.png","11","Watch","52-013.png"
"","2215","image-button-response","12","null","101739","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-011.png","4","Cat","95-011.png"
"","11947","image-button-response","13","null","114189","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-009.png","10","Tree","11-009.png"
"","2362","image-button-response","14","null","117055","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-013.png","2","Bird","53-013.png"
"","2414","image-button-response","15","null","119973","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-008.png","9","Rabbit","109-008.png"
"","2897","image-button-response","16","null","123372","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-009.png","7","Hat","52-009.png"
"","1964","image-button-response","17","null","125839","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/111-007.png","2","Bird","111-007.png"
"","2112","image-button-response","18","null","128456","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-007.png","8","House","96-007.png"
"","2313","image-button-response","19","null","131272","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-015.png","7","Hat","110-015.png"
"","2831","image-button-response","20","null","134606","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-010.png","10","Tree","8-010.png"
"","4212","image-button-response","21","null","139320","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-011.png","2","Bird","29-011.png"
"","1416","image-button-response","22","null","141239","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/29-008.png","2","Bird","29-008.png"
"","1980","image-button-response","23","null","143722","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-008.png","7","Hat","96-008.png"
"","3046","image-button-response","24","null","147271","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-011.png","3","Car","70-011.png"
"","1398","image-button-response","25","null","149172","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-014.png","3","Car","97-014.png"
"","4097","image-button-response","26","null","153773","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-007.png","6","Cup","109-007.png"
"","1412","image-button-response","27","null","155689","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-013.png","6","Cup","95-013.png"
"","5181","image-button-response","28","null","161372","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-014.png","2","Bird","28-014.png"
"","2914","image-button-response","29","null","164789","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-012.png","5","Chair","110-012.png"
"","5197","image-button-response","30","null","170489","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/30-007.png","0","Airplane","30-007.png"
"","3114","image-button-response","31","null","174106","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-006.png","11","Watch","109-006.png"
"","3297","image-button-response","32","null","177906","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-012.png","4","Cat","70-012.png"
"","3397","image-button-response","33","null","181807","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-005.png","0","Airplane","73-005.png"
"","2413","image-button-response","34","null","184722","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/55-006.png","1","Bicycle","55-006.png"
"","2714","image-button-response","35","null","187940","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-012.png","7","Hat","9-012.png"
"","4328","image-button-response","36","null","192773","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-011.png","4","Cat","110-011.png"
"","2430","image-button-response","37","null","195706","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-014.png","10","Tree","95-014.png"
"","10129","image-button-response","38","null","206338","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-010.png","3","Car","32-010.png"
"","1632","image-button-response","39","null","208473","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/52-010.png","8","House","52-010.png"
"","1696","image-button-response","40","null","210673","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-007.png","5","Chair","9-007.png"
"","1880","image-button-response","41","null","213056","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-009.png","10","Tree","109-009.png"
"","2628","image-button-response","42","null","216186","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-007.png","6","Cup","70-007.png"
"","2301","image-button-response","43","null","218990","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-012.png","11","Watch","69-012.png"
"","4779","image-button-response","44","null","224271","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-010.png","7","Hat","9-010.png"
"","2266","image-button-response","45","null","227039","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-011.png","5","Chair","96-011.png"
"","1997","image-button-response","46","null","229538","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/8-009.png","11","Watch","8-009.png"
"","2516","image-button-response","47","null","232557","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/69-010.png","4","Cat","69-010.png"
"","1895","image-button-response","48","null","234956","685c6ca90f751d3aae6b1794","685c6e58834c9d1b5a880345","63d000d62878aa92b833c5fc","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-015.png","11","Watch","95-015.png"
