"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":8728},{""page_index"":1,""viewing_time"":5373},{""page_index"":2,""viewing_time"":7171},{""page_index"":3,""viewing_time"":39077}]","60348","instructions","0","null","60358","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","","","","","","",""
"","3282","image-button-response","1","null","64644","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2146","image-button-response","2","null","67294","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","10463","image-button-response","3","null","78260","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-016.png","11","Watch","58-016.png"
"","9450","image-button-response","4","null","88213","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-006.png","0","Airplane","4-006.png"
"","6333","image-button-response","5","null","95048","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-010.png","4","Cat","4-010.png"
"","4609","image-button-response","6","null","100160","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-008.png","5","Chair","4-008.png"
"","1771","image-button-response","7","null","102433","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","8134","image-button-response","8","null","111070","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-014.png","4","Cat","3-014.png"
"","1651","image-button-response","9","null","113225","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-013.png","4","Cat","104-013.png"
"","1751","image-button-response","10","null","115478","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-012.png","1","Bicycle","59-012.png"
"","3740","image-button-response","11","null","119722","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-005.png","9","Rabbit","4-005.png"
"","2180","image-button-response","12","null","122405","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-005.png","11","Watch","104-005.png"
"","10459","image-button-response","13","null","133367","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-009.png","5","Chair","66-009.png"
"","2604","image-button-response","14","null","136475","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-014.png","5","Chair","65-014.png"
"","1919","image-button-response","15","null","138897","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-011.png","8","House","104-011.png"
"","8915","image-button-response","16","null","148314","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-012.png","5","Chair","58-012.png"
"","5268","image-button-response","17","null","154086","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-007.png","2","Bird","105-007.png"
"","2160","image-button-response","18","null","156748","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-011.png","0","Airplane","59-011.png"
"","7223","image-button-response","19","null","164472","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-016.png","10","Tree","3-016.png"
"","2234","image-button-response","20","null","167224","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-008.png","5","Chair","58-008.png"
"","2656","image-button-response","21","null","170381","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-007.png","10","Tree","4-007.png"
"","7586","image-button-response","22","null","178471","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-006.png","8","House","24-006.png"
"","19380","image-button-response","23","null","198353","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-011.png","2","Bird","34-011.png"
"","3307","image-button-response","24","null","202163","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-015.png","3","Car","34-015.png"
"","2322","image-button-response","25","null","204987","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-016.png","2","Bird","24-016.png"
"","1483","image-button-response","26","null","206973","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-006.png","10","Tree","58-006.png"
"","2587","image-button-response","27","null","210061","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-010.png","5","Chair","104-010.png"
"","1563","image-button-response","28","null","212127","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-005.png","11","Watch","90-005.png"
"","14718","image-button-response","29","null","227347","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-007.png","4","Cat","58-007.png"
"","6679","image-button-response","30","null","234534","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-013.png","0","Airplane","66-013.png"
"","4840","image-button-response","31","null","239876","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-011.png","9","Rabbit","3-011.png"
"","1518","image-button-response","32","null","241897","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-015.png","10","Tree","3-015.png"
"","1968","image-button-response","33","null","244368","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-016.png","4","Cat","65-016.png"
"","1271","image-button-response","34","null","246141","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-009.png","8","House","65-009.png"
"","1642","image-button-response","35","null","248285","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-009.png","0","Airplane","105-009.png"
"","2239","image-button-response","36","null","251026","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-009.png","5","Chair","104-009.png"
"","1926","image-button-response","37","null","253455","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-009.png","10","Tree","24-009.png"
"","3093","image-button-response","38","null","257050","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-006.png","3","Car","91-006.png"
"","2948","image-button-response","39","null","260500","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-011.png","6","Cup","58-011.png"
"","1576","image-button-response","40","null","262579","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-013.png","10","Tree","24-013.png"
"","1870","image-button-response","41","null","264952","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-012.png","6","Cup","3-012.png"
"","3413","image-button-response","42","null","268869","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-010.png","3","Car","59-010.png"
"","2261","image-button-response","43","null","271632","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-006.png","0","Airplane","105-006.png"
"","2578","image-button-response","44","null","274713","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-011.png","5","Chair","90-011.png"
"","1832","image-button-response","45","null","277048","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-011.png","0","Airplane","91-011.png"
"","1558","image-button-response","46","null","279108","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-013.png","4","Cat","90-013.png"
"","6055","image-button-response","47","null","285665","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-011.png","0","Airplane","66-011.png"
"","2265","image-button-response","48","null","288432","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-006.png","10","Tree","90-006.png"
"","1528","image-button-response","49","null","290462","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-016.png","8","House","90-016.png"
"","3064","image-button-response","50","null","294029","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-016.png","0","Airplane","91-016.png"
"","2453","image-button-response","51","null","296984","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-007.png","10","Tree","104-007.png"
"","1238","image-button-response","52","null","298725","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-007.png","4","Cat","24-007.png"
"","6861","image-button-response","53","null","306088","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-013.png","5","Chair","3-013.png"
"","1862","image-button-response","54","null","308453","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-009.png","4","Cat","58-009.png"
"","3779","image-button-response","55","null","312733","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-007.png","4","Cat","90-007.png"
"","3248","image-button-response","56","null","316485","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-015.png","0","Airplane","58-015.png"
"","2938","image-button-response","57","null","319926","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-015.png","8","House","24-015.png"
"","1922","image-button-response","58","null","322350","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-008.png","6","Cup","104-008.png"
"","2692","image-button-response","59","null","325546","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-005.png","8","House","58-005.png"
"","2006","image-button-response","60","null","328054","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-012.png","9","Rabbit","104-012.png"
"","4332","image-button-response","61","null","332889","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-013.png","2","Bird","34-013.png"
"","1890","image-button-response","62","null","335281","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-011.png","10","Tree","65-011.png"
"","2080","image-button-response","63","null","337863","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-009.png","6","Cup","90-009.png"
"","3859","image-button-response","64","null","342224","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-012.png","3","Car","66-012.png"
"","1664","image-button-response","65","null","344389","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-010.png","11","Watch","65-010.png"
"","1218","image-button-response","66","null","346109","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-015.png","4","Cat","65-015.png"
"","2449","image-button-response","67","null","349060","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-008.png","3","Car","105-008.png"
"","1406","image-button-response","68","null","350967","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-008.png","6","Cup","90-008.png"
"","10513","image-button-response","69","null","361983","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-010.png","10","Tree","3-010.png"
"","8577","image-button-response","70","null","371063","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-012.png","10","Tree","24-012.png"
"","1608","image-button-response","71","null","373173","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-011.png","4","Cat","24-011.png"
"","1813","image-button-response","72","null","375488","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-014.png","6","Cup","24-014.png"
"","1559","image-button-response","73","null","377550","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-012.png","1","Bicycle","91-012.png"
"","2745","image-button-response","74","null","380798","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-012.png","8","House","65-012.png"
"","1473","image-button-response","75","null","382773","685c6ca90f751d3aae6b1794","685c6e16c8c2eac9841999c0","64012a2623351894f2917605","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-008.png","6","Cup","65-008.png"
