"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":5411},{""page_index"":1,""viewing_time"":2396},{""page_index"":2,""viewing_time"":2308},{""page_index"":3,""viewing_time"":4428}]","14542","instructions","0","null","14549","685c6ca90f751d3aae6b1794","685c6e136ff56d5e822b6abf","6405feae7d6321bfaaf793e8","","","","","","",""
"","1964","image-button-response","1","null","17519","685c6ca90f751d3aae6b1794","685c6e136ff56d5e822b6abf","6405feae7d6321bfaaf793e8","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2822","image-button-response","2","null","20851","685c6ca90f751d3aae6b1794","685c6e136ff56d5e822b6abf","6405feae7d6321bfaaf793e8","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","3123","image-button-response","3","null","24488","685c6ca90f751d3aae6b1794","685c6e136ff56d5e822b6abf","6405feae7d6321bfaaf793e8","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-006.png","11","Watch","106-006.png"
"","5745","image-button-response","4","null","30741","685c6ca90f751d3aae6b1794","685c6e136ff56d5e822b6abf","6405feae7d6321bfaaf793e8","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-013.png","4","Cat","5-013.png"
"","2809","image-button-response","5","null","34053","685c6ca90f751d3aae6b1794","685c6e136ff56d5e822b6abf","6405feae7d6321bfaaf793e8","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-005.png","4","Cat","106-005.png"
"","8082","image-button-response","6","null","42643","685c6ca90f751d3aae6b1794","685c6e136ff56d5e822b6abf","6405feae7d6321bfaaf793e8","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-015.png","2","Bird","25-015.png"
"","2295","image-button-response","7","null","45441","685c6ca90f751d3aae6b1794","685c6e136ff56d5e822b6abf","6405feae7d6321bfaaf793e8","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-005.png","3","Car","67-005.png"
"","2850","image-button-response","8","null","48797","685c6ca90f751d3aae6b1794","685c6e136ff56d5e822b6abf","6405feae7d6321bfaaf793e8","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-009.png","0","Airplane","105-009.png"
"","5619","image-button-response","9","null","54918","685c6ca90f751d3aae6b1794","685c6e136ff56d5e822b6abf","6405feae7d6321bfaaf793e8","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-009.png","5","Chair","92-009.png"
