"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":9316},{""page_index"":1,""viewing_time"":6016},{""page_index"":2,""viewing_time"":8809},{""page_index"":3,""viewing_time"":14320}]","38461","instructions","0","null","38496","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","","","","","","",""
"","2804","image-button-response","1","null","42315","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","4202","image-button-response","2","null","47023","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","6728","image-button-response","3","null","54262","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-005.png","10","Tree","59-005.png"
"","3723","image-button-response","4","null","58514","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-014.png","5","Chair","105-014.png"
"","24808","image-button-response","5","null","83827","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-010.png","1","Bicycle","24-010.png"
"","14152","image-button-response","6","null","98486","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-012.png","8","House","4-012.png"
"","10423","image-button-response","7","null","109418","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-006.png","11","Watch","66-006.png"
"","19781","image-button-response","8","null","129707","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-006.png","8","House","65-006.png"
"","3746","image-button-response","9","null","133961","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-015.png","2","Bird","104-015.png"
"","6648","image-button-response","10","null","141116","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-005.png","10","Tree","66-005.png"
"","3162","image-button-response","11","null","144785","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-006.png","3","Car","91-006.png"
"","17650","image-button-response","12","null","162940","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-013.png","4","Cat","4-013.png"
"","8671","image-button-response","13","null","172119","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-014.png","10","Tree","4-014.png"
"","10490","image-button-response","14","null","183113","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-010.png","4","Cat","4-010.png"
"","11570","image-button-response","15","null","195187","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-005.png","8","House","105-005.png"
"","27296","image-button-response","16","null","222989","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-005.png","7","Hat","3-005.png"
"","26476","image-button-response","17","null","249972","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-007.png","8","House","3-007.png"
"","6500","image-button-response","18","null","256980","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-016.png","7","Hat","66-016.png"
"","18930","image-button-response","19","null","276416","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/65-013.png","3","Car","65-013.png"
"","4714","image-button-response","20","null","281635","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-008.png","3","Car","3-008.png"
"","3185","image-button-response","21","null","285325","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/104-016.png","1","Bicycle","104-016.png"
"","15832","image-button-response","22","null","301663","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-009.png","10","Tree","91-009.png"
"","46065","image-button-response","23","null","348234","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-006.png","2","Bird","3-006.png"
"","2709","image-button-response","24","null","351448","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","3662","image-button-response","25","null","355615","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-009.png","5","Chair","4-009.png"
"","3674","image-button-response","26","null","359794","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-011.png","6","Cup","105-011.png"
"","23346","image-button-response","27","null","383645","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-006.png","5","Chair","59-006.png"
"","3449","image-button-response","28","null","387600","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-014.png","0","Airplane","59-014.png"
"","15251","image-button-response","29","null","403358","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-015.png","11","Watch","105-015.png"
"","19771","image-button-response","30","null","423634","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-016.png","4","Cat","4-016.png"
"","5827","image-button-response","31","null","429967","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-015.png","6","Cup","59-015.png"
"","2154","image-button-response","32","null","432625","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-009.png","11","Watch","34-009.png"
"","2958","image-button-response","33","null","436087","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-015.png","6","Cup","91-015.png"
"","25211","image-button-response","34","null","461804","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-005.png","2","Bird","91-005.png"
"","3601","image-button-response","35","null","465911","685c6ca90f751d3aae6b1794","685c6e1153a3d6a5118ed698","64509bfcd8d8b7e61f801e95","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-013.png","0","Airplane","58-013.png"
