"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":12994},{""page_index"":1,""viewing_time"":5079},{""page_index"":2,""viewing_time"":5653},{""page_index"":3,""viewing_time"":18464}]","42190","instructions","0","null","42196","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","","","","","","",""
"","2102","image-button-response","1","null","45304","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1513","image-button-response","2","null","47329","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","11138","image-button-response","3","null","58981","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-014.png","6","Cup","56-014.png"
"","7694","image-button-response","4","null","67177","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-008.png","0","Airplane","20-008.png"
"","2517","image-button-response","5","null","70199","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-014.png","10","Tree","22-014.png"
"","3802","image-button-response","6","null","74507","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-015.png","0","Airplane","20-015.png"
"","1940","image-button-response","7","null","76949","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-011.png","10","Tree","85-011.png"
"","3082","image-button-response","8","null","80537","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-013.png","5","Chair","62-013.png"
"","3479","image-button-response","9","null","84519","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-014.png","8","House","62-014.png"
"","1506","image-button-response","10","null","86529","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-006.png","10","Tree","56-006.png"
"","1254","image-button-response","11","null","88285","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-014.png","10","Tree","102-014.png"
"","2496","image-button-response","12","null","91293","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-007.png","7","Hat","102-007.png"
"","5864","image-button-response","13","null","97671","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-010.png","2","Bird","20-010.png"
"","9137","image-button-response","14","null","107313","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-006.png","5","Chair","22-006.png"
"","19015","image-button-response","15","null","126836","685c6ca90f751d3aae6b1794","685c6dd5676c47da8338b801","6480bdf6d433e2e158870605","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-016.png","4","Cat","22-016.png"
