"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":93216},{""page_index"":1,""viewing_time"":6405},{""page_index"":2,""viewing_time"":1993},{""page_index"":3,""viewing_time"":2738}]","104352","instructions","0","null","104358","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","","","","","","",""
"","2890","image-button-response","1","null","108268","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1907","image-button-response","2","null","110685","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","6895","image-button-response","3","null","118082","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-005.png","0","Airplane","73-005.png"
"","15203","image-button-response","4","null","133790","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-016.png","11","Watch","70-016.png"
"","29748","image-button-response","5","null","164041","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/39-016.png","5","Chair","39-016.png"
"","4781","image-button-response","6","null","169329","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-013.png","4","Cat","90-013.png"
"","18319","image-button-response","7","null","188165","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/3-009.png","4","Cat","3-009.png"
"","7614","image-button-response","8","null","196294","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/71-011.png","5","Chair","71-011.png"
"","10331","image-button-response","9","null","207135","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/97-012.png","9","Rabbit","97-012.png"
"","23573","image-button-response","10","null","231219","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-005.png","4","Cat","79-005.png"
"","10824","image-button-response","11","null","242558","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-014.png","5","Chair","48-014.png"
"","10647","image-button-response","12","null","253717","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-014.png","10","Tree","80-014.png"
"","10614","image-button-response","13","null","264842","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-006.png","10","Tree","48-006.png"
"","12396","image-button-response","14","null","277749","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-007.png","8","House","112-007.png"
"","14756","image-button-response","15","null","293022","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-014.png","4","Cat","77-014.png"
"","3086","image-button-response","16","null","296610","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-016.png","3","Car","27-016.png"
"","5628","image-button-response","17","null","302747","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-012.png","10","Tree","117-012.png"
"","6388","image-button-response","18","null","309642","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/46-008.png","0","Airplane","46-008.png"
"","6299","image-button-response","19","null","316444","685c6ca90f751d3aae6b1794","685c76bff9438b9132e976d2","64a826f6220bf56dca731156","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-005.png","3","Car","67-005.png"
