"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":10504},{""page_index"":1,""viewing_time"":6082},{""page_index"":2,""viewing_time"":4639},{""page_index"":3,""viewing_time"":8061}]","29286","instructions","0","null","29308","685c6ca90f751d3aae6b1794","685c6eae77ec4f70865f2b47","651090beae417ded35c4ef2f","","","","","","",""
"","2237","image-button-response","1","null","32569","685c6ca90f751d3aae6b1794","685c6eae77ec4f70865f2b47","651090beae417ded35c4ef2f","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3270","image-button-response","2","null","36353","685c6ca90f751d3aae6b1794","685c6eae77ec4f70865f2b47","651090beae417ded35c4ef2f","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","7246","image-button-response","3","null","44115","685c6ca90f751d3aae6b1794","685c6eae77ec4f70865f2b47","651090beae417ded35c4ef2f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-008.png","10","Tree","99-008.png"
"","11488","image-button-response","4","null","56111","685c6ca90f751d3aae6b1794","685c6eae77ec4f70865f2b47","651090beae417ded35c4ef2f","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-011.png","5","Chair","43-011.png"
"","14477","image-button-response","5","null","71095","685c6ca90f751d3aae6b1794","685c6eae77ec4f70865f2b47","651090beae417ded35c4ef2f","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-010.png","6","Cup","15-010.png"
"","4127","image-button-response","6","null","75727","685c6ca90f751d3aae6b1794","685c6eae77ec4f70865f2b47","651090beae417ded35c4ef2f","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-013.png","7","Hat","12-013.png"
"","5853","image-button-response","7","null","82087","685c6ca90f751d3aae6b1794","685c6eae77ec4f70865f2b47","651090beae417ded35c4ef2f","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-013.png","10","Tree","41-013.png"
"","23567","image-button-response","8","null","106167","685c6ca90f751d3aae6b1794","685c6eae77ec4f70865f2b47","651090beae417ded35c4ef2f","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-010.png","1","Bicycle","42-010.png"
"","5358","image-button-response","9","null","112032","685c6ca90f751d3aae6b1794","685c6eae77ec4f70865f2b47","651090beae417ded35c4ef2f","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-014.png","4","Cat","75-014.png"
