"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":98954},{""page_index"":1,""viewing_time"":3392},{""page_index"":2,""viewing_time"":4994},{""page_index"":3,""viewing_time"":12019}]","119358","instructions","0","null","119367","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","","","","","","",""
"","6277","image-button-response","1","null","126650","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","6991","image-button-response","2","null","134144","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","8132","image-button-response","3","null","142778","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-016.png","1","Bicycle","117-016.png"
"","3577","image-button-response","4","null","146858","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-011.png","1","Bicycle","81-011.png"
"","14175","image-button-response","5","null","161535","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/15-012.png","7","Hat","15-012.png"
"","15367","image-button-response","6","null","177404","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/90-014.png","0","Airplane","90-014.png"
"","9360","image-button-response","7","null","187267","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-013.png","4","Cat","81-013.png"
"","15694","image-button-response","8","null","203463","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-015.png","0","Airplane","106-015.png"
"","25957","image-button-response","9","null","229923","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-014.png","7","Hat","120-014.png"
"","3229","image-button-response","10","null","233655","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/17-014.png","6","Cup","17-014.png"
"","4371","image-button-response","11","null","238529","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-016.png","3","Car","74-016.png"
"","11193","image-button-response","12","null","250224","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-006.png","2","Bird","54-006.png"
"","4891","image-button-response","13","null","255617","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-014.png","10","Tree","49-014.png"
"","5911","image-button-response","14","null","262031","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","19707","image-button-response","15","null","282241","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-015.png","7","Hat","44-015.png"
"","5020","image-button-response","16","null","287763","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-010.png","10","Tree","61-010.png"
"","7180","image-button-response","17","null","295445","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-014.png","0","Airplane","2-014.png"
"","8344","image-button-response","18","null","304292","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-013.png","3","Car","112-013.png"
"","5681","image-button-response","19","null","310475","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-015.png","10","Tree","35-015.png"
"","5990","image-button-response","20","null","316968","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-015.png","11","Watch","80-015.png"
"","12097","image-button-response","21","null","329567","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/26-010.png","2","Bird","26-010.png"
"","7202","image-button-response","22","null","337272","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-007.png","5","Chair","89-007.png"
"","8362","image-button-response","23","null","346137","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-013.png","6","Cup","33-013.png"
"","9015","image-button-response","24","null","355653","685c6ca90f751d3aae6b1794","685c6dfcb99f63a1ffdfc8cf","651c4484ba17050f6b716614","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-010.png","2","Bird","42-010.png"
