"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":5495},{""page_index"":1,""viewing_time"":4024},{""page_index"":2,""viewing_time"":4800},{""page_index"":3,""viewing_time"":3448}]","17767","instructions","0","null","17772","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","","","","","","",""
"","3073","image-button-response","1","null","21860","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1709","image-button-response","2","null","24084","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","14221","image-button-response","3","null","38812","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-009.png","3","Car","62-009.png"
"","4693","image-button-response","4","null","44012","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-009.png","5","Chair","85-009.png"
"","4091","image-button-response","5","null","48620","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-016.png","8","House","85-016.png"
"","3819","image-button-response","6","null","52940","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-014.png","10","Tree","102-014.png"
"","4107","image-button-response","7","null","57548","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-015.png","1","Bicycle","102-015.png"
"","5767","image-button-response","8","null","63829","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-012.png","4","Cat","102-012.png"
"","4893","image-button-response","9","null","69227","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-008.png","2","Bird","22-008.png"
"","4434","image-button-response","10","null","74163","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-016.png","9","Rabbit","22-016.png"
"","5176","image-button-response","11","null","79844","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-009.png","11","Watch","102-009.png"
"","9217","image-button-response","12","null","89564","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-007.png","3","Car","62-007.png"
"","7433","image-button-response","13","null","97508","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-012.png","10","Tree","20-012.png"
"","4391","image-button-response","14","null","102403","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-014.png","7","Hat","56-014.png"
"","4130","image-button-response","15","null","107043","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-007.png","3","Car","56-007.png"
"","1676","image-button-response","16","null","109219","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-014.png","8","House","62-014.png"
"","5179","image-button-response","17","null","114907","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-010.png","9","Rabbit","85-010.png"
"","9622","image-button-response","18","null","125043","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-011.png","5","Chair","20-011.png"
"","6065","image-button-response","19","null","131611","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-007.png","2","Bird","20-007.png"
"","2827","image-button-response","20","null","134939","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-013.png","5","Chair","62-013.png"
"","3230","image-button-response","21","null","138675","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-010.png","0","Airplane","62-010.png"
"","4081","image-button-response","22","null","143259","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-008.png","3","Car","62-008.png"
"","4761","image-button-response","23","null","148523","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-011.png","4","Cat","56-011.png"
"","2287","image-button-response","24","null","151315","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-013.png","8","House","22-013.png"
"","2576","image-button-response","25","null","154403","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-010.png","9","Rabbit","56-010.png"
"","3612","image-button-response","26","null","158523","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-006.png","4","Cat","62-006.png"
"","4775","image-button-response","27","null","163803","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-005.png","9","Rabbit","102-005.png"
"","2083","image-button-response","28","null","166395","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-016.png","10","Tree","62-016.png"
"","1780","image-button-response","29","null","168691","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-009.png","3","Car","22-009.png"
"","2176","image-button-response","30","null","171371","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-005.png","3","Car","85-005.png"
"","3948","image-button-response","31","null","175827","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-006.png","3","Car","85-006.png"
"","4100","image-button-response","32","null","180443","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-010.png","4","Cat","22-010.png"
"","2339","image-button-response","33","null","183283","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-006.png","10","Tree","56-006.png"
"","4616","image-button-response","34","null","188411","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-013.png","4","Cat","60-013.png"
"","2890","image-button-response","35","null","191803","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-015.png","7","Hat","56-015.png"
"","3118","image-button-response","36","null","195427","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-009.png","2","Bird","20-009.png"
"","3059","image-button-response","37","null","198987","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-016.png","2","Bird","56-016.png"
"","2094","image-button-response","38","null","201588","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-015.png","7","Hat","62-015.png"
"","7951","image-button-response","39","null","210044","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-013.png","5","Chair","20-013.png"
"","2876","image-button-response","40","null","213435","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-011.png","2","Bird","22-011.png"
"","1523","image-button-response","41","null","215467","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-011.png","4","Cat","62-011.png"
"","1677","image-button-response","42","null","217651","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-012.png","3","Car","56-012.png"
"","1410","image-button-response","43","null","219571","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-007.png","2","Bird","85-007.png"
"","2013","image-button-response","44","null","222099","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-007.png","1","Bicycle","22-007.png"
"","3344","image-button-response","45","null","225955","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-005.png","11","Watch","62-005.png"
"","1813","image-button-response","46","null","228275","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-007.png","7","Hat","102-007.png"
"","1623","image-button-response","47","null","230411","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-013.png","0","Airplane","85-013.png"
"","2290","image-button-response","48","null","233203","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-013.png","2","Bird","102-013.png"
"","2047","image-button-response","49","null","235755","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-014.png","6","Cup","85-014.png"
"","2003","image-button-response","50","null","238259","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-011.png","10","Tree","85-011.png"
"","3249","image-button-response","51","null","242019","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-005.png","4","Cat","22-005.png"
"","2571","image-button-response","52","null","245099","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-008.png","2","Bird","56-008.png"
"","1616","image-button-response","53","null","247227","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","4917","image-button-response","54","null","252658","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-006.png","8","House","102-006.png"
"","3255","image-button-response","55","null","256427","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-015.png","2","Bird","20-015.png"
"","2907","image-button-response","56","null","259835","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-006.png","10","Tree","20-006.png"
"","1613","image-button-response","57","null","261954","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-014.png","10","Tree","22-014.png"
"","1635","image-button-response","58","null","264091","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-012.png","6","Cup","62-012.png"
"","2369","image-button-response","59","null","266962","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-014.png","0","Airplane","20-014.png"
"","2364","image-button-response","60","null","269842","685c6ca90f751d3aae6b1794","685c6da2e0789bb0370d9915","653703627539f3a8b2ed4af3","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-012.png","11","Watch","85-012.png"
