"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":8891},{""page_index"":1,""viewing_time"":3846},{""page_index"":2,""viewing_time"":10920},{""page_index"":3,""viewing_time"":7894}]","31551","instructions","0","null","31556","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","","","","","","",""
"","6555","image-button-response","1","null","39117","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","4142","image-button-response","2","null","43774","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","32439","image-button-response","3","null","76721","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-010.png","4","Cat","105-010.png"
"","11314","image-button-response","4","null","88537","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-010.png","4","Cat","66-010.png"
"","22635","image-button-response","5","null","111674","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-005.png","11","Watch","105-005.png"
"","18581","image-button-response","6","null","130759","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-015.png","6","Cup","105-015.png"
"","7865","image-button-response","7","null","139126","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/58-009.png","4","Cat","58-009.png"
"","18987","image-button-response","8","null","158616","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-009.png","8","House","66-009.png"
"","37938","image-button-response","9","null","197062","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-008.png","7","Hat","34-008.png"
"","2810","image-button-response","10","null","200386","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-011.png","6","Cup","4-011.png"
"","2855","image-button-response","11","null","203754","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-014.png","8","House","91-014.png"
"","4171","image-button-response","12","null","208428","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-016.png","7","Hat","59-016.png"
"","5077","image-button-response","13","null","214010","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-006.png","11","Watch","66-006.png"
"","3721","image-button-response","14","null","218234","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-006.png","2","Bird","4-006.png"
"","16154","image-button-response","15","null","234902","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-011.png","2","Bird","34-011.png"
"","11725","image-button-response","16","null","247135","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-014.png","5","Chair","66-014.png"
"","34724","image-button-response","17","null","282363","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-007.png","3","Car","4-007.png"
"","3564","image-button-response","18","null","286444","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-009.png","0","Airplane","59-009.png"
"","16250","image-button-response","19","null","303197","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-013.png","9","Rabbit","66-013.png"
"","12344","image-button-response","20","null","316053","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-012.png","10","Tree","4-012.png"
"","16278","image-button-response","21","null","332833","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-006.png","5","Chair","59-006.png"
"","4712","image-button-response","22","null","338049","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-015.png","3","Car","34-015.png"
"","10173","image-button-response","23","null","348737","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-010.png","9","Rabbit","4-010.png"
"","9008","image-button-response","24","null","358251","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-005.png","10","Tree","66-005.png"
"","4872","image-button-response","25","null","363630","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-014.png","5","Chair","34-014.png"
"","4074","image-button-response","26","null","368206","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-010.png","3","Car","59-010.png"
"","3476","image-button-response","27","null","372183","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-009.png","11","Watch","34-009.png"
"","14199","image-button-response","28","null","386886","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-005.png","2","Bird","4-005.png"
"","4853","image-button-response","29","null","392249","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-007.png","7","Hat","34-007.png"
"","9602","image-button-response","30","null","402360","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-008.png","5","Chair","91-008.png"
"","7290","image-button-response","31","null","410155","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-013.png","8","House","59-013.png"
"","4316","image-button-response","32","null","414973","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-015.png","6","Cup","91-015.png"
"","5785","image-button-response","33","null","421265","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-012.png","9","Rabbit","105-012.png"
"","7682","image-button-response","34","null","429449","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-009.png","10","Tree","24-009.png"
"","2888","image-button-response","35","null","432847","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-006.png","8","House","34-006.png"
"","2981","image-button-response","36","null","436344","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-010.png","10","Tree","34-010.png"
"","3141","image-button-response","37","null","439987","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-007.png","8","House","66-007.png"
"","4302","image-button-response","38","null","444793","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-007.png","4","Cat","91-007.png"
"","7421","image-button-response","39","null","452732","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-013.png","9","Rabbit","34-013.png"
"","12041","image-button-response","40","null","465289","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-013.png","9","Rabbit","4-013.png"
"","7534","image-button-response","41","null","473325","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-012.png","3","Car","66-012.png"
"","5380","image-button-response","42","null","479207","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/105-006.png","1","Bicycle","105-006.png"
"","5480","image-button-response","43","null","485189","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-011.png","0","Airplane","91-011.png"
"","3266","image-button-response","44","null","488959","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-006.png","3","Car","91-006.png"
"","3107","image-button-response","45","null","492567","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-012.png","1","Bicycle","59-012.png"
"","2524","image-button-response","46","null","495593","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-011.png","0","Airplane","59-011.png"
"","8249","image-button-response","47","null","504357","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-010.png","11","Watch","91-010.png"
"","41456","image-button-response","48","null","546321","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/4-016.png","10","Tree","4-016.png"
"","4004","image-button-response","49","null","550828","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-016.png","4","Cat","34-016.png"
"","1952","image-button-response","50","null","553295","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/34-005.png","6","Cup","34-005.png"
"","2774","image-button-response","51","null","556581","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/59-015.png","6","Cup","59-015.png"
"","17076","image-button-response","52","null","574163","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/66-011.png","0","Airplane","66-011.png"
"","8337","image-button-response","53","null","583009","685c6ca90f751d3aae6b1794","685c6e1379f0161f30215d7e","6583287e9845b219549fb80b","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/91-016.png","0","Airplane","91-016.png"
