"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":22829},{""page_index"":1,""viewing_time"":11424},{""page_index"":2,""viewing_time"":3056},{""page_index"":3,""viewing_time"":5352}]","42662","instructions","0","null","42672","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","","","","","","",""
"","5223","image-button-response","1","null","48927","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2939","image-button-response","2","null","52374","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","10033","image-button-response","3","null","62919","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-008.png","9","Rabbit","88-008.png"
"","9410","image-button-response","4","null","72839","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-005.png","7","Hat","49-005.png"
"","8992","image-button-response","5","null","82351","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-005.png","7","Hat","95-005.png"
"","25434","image-button-response","6","null","108303","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-008.png","7","Hat","21-008.png"
"","19714","image-button-response","7","null","128519","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-016.png","7","Hat","1-016.png"
"","21841","image-button-response","8","null","150870","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/50-016.png","9","Rabbit","50-016.png"
"","19169","image-button-response","9","null","170551","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-015.png","10","Tree","1-015.png"
"","13098","image-button-response","10","null","184167","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/119-009.png","1","Bicycle","119-009.png"
"","7125","image-button-response","11","null","191806","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/86-013.png","11","Watch","86-013.png"
"","3049","image-button-response","12","null","195367","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/61-005.png","1","Bicycle","61-005.png"
"","4465","image-button-response","13","null","200343","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-014.png","10","Tree","80-014.png"
"","18653","image-button-response","14","null","219504","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-009.png","8","House","48-009.png"
"","18503","image-button-response","15","null","238519","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/101-011.png","4","Cat","101-011.png"
"","5511","image-button-response","16","null","244535","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/18-006.png","7","Hat","18-006.png"
"","4007","image-button-response","17","null","249046","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/49-012.png","1","Bicycle","49-012.png"
"","16240","image-button-response","18","null","265792","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-014.png","10","Tree","1-014.png"
"","7490","image-button-response","19","null","273798","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/21-007.png","6","Cup","21-007.png"
"","6203","image-button-response","20","null","280510","685c6ca90f751d3aae6b1794","685c6e1613b10b674775b1a8","65c10fa0d6f486db7815b5a2","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/1-012.png","10","Tree","1-012.png"
