"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":7644},{""page_index"":1,""viewing_time"":3741},{""page_index"":2,""viewing_time"":5257},{""page_index"":3,""viewing_time"":10825}]","27470","instructions","0","null","27496","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","","","","","","",""
"","2464","image-button-response","1","null","30974","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2044","image-button-response","2","null","33524","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","5975","image-button-response","3","null","40007","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-011.png","2","Bird","53-011.png"
"","9450","image-button-response","4","null","49969","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-013.png","8","House","9-013.png"
"","2492","image-button-response","5","null","52975","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/54-008.png","0","Airplane","54-008.png"
"","11088","image-button-response","6","null","64580","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/9-007.png","5","Chair","9-007.png"
"","3888","image-button-response","7","null","68977","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-016.png","8","House","110-016.png"
"","2237","image-button-response","8","null","71726","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-009.png","10","Tree","110-009.png"
"","10334","image-button-response","9","null","82567","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-008.png","9","Rabbit","110-008.png"
"","2613","image-button-response","10","null","85687","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-007.png","2","Bird","110-007.png"
"","2363","image-button-response","11","null","88561","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-010.png","6","Cup","96-010.png"
"","4011","image-button-response","12","null","93085","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-015.png","10","Tree","70-015.png"
"","4043","image-button-response","13","null","97641","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-012.png","4","Cat","70-012.png"
"","14786","image-button-response","14","null","112933","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/53-014.png","2","Bird","53-014.png"
"","9582","image-button-response","15","null","123023","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/96-007.png","3","Car","96-007.png"
"","2660","image-button-response","16","null","126190","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/110-010.png","3","Car","110-010.png"
"","2487","image-button-response","17","null","129187","685c6ca90f751d3aae6b1794","685c6e33165dd497c802a0ab","65c118f1cd19001157ace3a0","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/70-013.png","5","Chair","70-013.png"
