"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":51611},{""page_index"":1,""viewing_time"":33499},{""page_index"":2,""viewing_time"":15300},{""page_index"":3,""viewing_time"":137784}]","238195","instructions","0","null","238218","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","","","","","","",""
"","15289","image-button-response","1","null","254534","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2527","image-button-response","2","null","257566","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","36024","image-button-response","3","null","294097","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-016.png","8","House","94-016.png"
"","31692","image-button-response","4","null","326298","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-016.png","1","Bicycle","108-016.png"
"","29029","image-button-response","5","null","355833","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-007.png","6","Cup","95-007.png"
"","16556","image-button-response","6","null","372900","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-013.png","5","Chair","63-013.png"
"","19646","image-button-response","7","null","393051","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/95-005.png","7","Hat","95-005.png"
"","40554","image-button-response","8","null","434127","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-009.png","8","House","27-009.png"
"","38851","image-button-response","9","null","473487","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-005.png","1","Bicycle","7-005.png"
"","9151","image-button-response","10","null","483144","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-015.png","6","Cup","63-015.png"
"","11944","image-button-response","11","null","495597","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/108-011.png","2","Bird","108-011.png"
"","10820","image-button-response","12","null","506922","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-009.png","10","Tree","109-009.png"
"","7200","image-button-response","13","null","514627","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-011.png","2","Bird","63-011.png"
"","24238","image-button-response","14","null","539373","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-008.png","3","Car","7-008.png"
"","18422","image-button-response","15","null","558302","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-014.png","11","Watch","28-014.png"
"","8385","image-button-response","16","null","567196","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-012.png","1","Bicycle","63-012.png"
"","118461","image-button-response","17","null","686163","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-014.png","10","Tree","51-014.png"
"","20158","image-button-response","18","null","706826","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/51-016.png","4","Cat","51-016.png"
"","21873","image-button-response","19","null","729205","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/27-016.png","3","Car","27-016.png"
"","176956","image-button-response","20","null","906682","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-010.png","10","Tree","7-010.png"
"","27032","image-button-response","21","null","934218","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/109-011.png","7","Hat","109-011.png"
"","15628","image-button-response","22","null","950355","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/28-015.png","10","Tree","28-015.png"
"","13645","image-button-response","23","null","964506","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/63-010.png","4","Cat","63-010.png"
"","3557","image-button-response","24","null","968569","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","11019","image-button-response","25","null","980108","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/94-008.png","4","Cat","94-008.png"
"","19024","image-button-response","26","null","999640","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-016.png","4","Cat","7-016.png"
"","16808","image-button-response","27","null","1016953","685c6ca90f751d3aae6b1794","685c6e230b6ac654916713d5","65c6bbe7f9428763522fa244","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/7-012.png","6","Cup","7-012.png"
