"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":1496634},{""page_index"":1,""viewing_time"":3343},{""page_index"":2,""viewing_time"":3970},{""page_index"":3,""viewing_time"":5997}]","1509944","instructions","0","null","1509960","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","","","","","","",""
"","3924","image-button-response","1","null","1514905","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2737","image-button-response","2","null","1518154","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","11581","image-button-response","3","null","1530257","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/16-011.png","5","Chair","16-011.png"
"","8141","image-button-response","4","null","1538915","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-012.png","4","Cat","41-012.png"
"","6178","image-button-response","5","null","1545603","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-013.png","6","Cup","113-013.png"
"","4908","image-button-response","6","null","1551029","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-011.png","6","Cup","73-011.png"
"","3373","image-button-response","7","null","1554916","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-008.png","7","Hat","113-008.png"
"","5790","image-button-response","8","null","1561220","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-005.png","2","Bird","32-005.png"
"","7503","image-button-response","9","null","1569231","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-016.png","9","Rabbit","36-016.png"
"","2762","image-button-response","10","null","1572511","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","8815","image-button-response","11","null","1581831","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-016.png","2","Bird","11-016.png"
"","2863","image-button-response","12","null","1585203","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/44-008.png","0","Airplane","44-008.png"
"","2583","image-button-response","13","null","1588292","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-009.png","5","Chair","100-009.png"
"","3230","image-button-response","14","null","1592034","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-005.png","6","Cup","12-005.png"
"","4549","image-button-response","15","null","1597092","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/77-006.png","0","Airplane","77-006.png"
"","4404","image-button-response","16","null","1602009","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/11-007.png","2","Bird","11-007.png"
"","3902","image-button-response","17","null","1606427","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-016.png","3","Car","43-016.png"
"","5454","image-button-response","18","null","1612389","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-016.png","2","Bird","32-016.png"
"","3510","image-button-response","19","null","1616415","685c6ca90f751d3aae6b1794","685c6ea1880c25fd500ad127","65cb586a1166caf7eb546dda","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-011.png","8","House","98-011.png"
