"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":14164},{""page_index"":1,""viewing_time"":6148},{""page_index"":2,""viewing_time"":6486},{""page_index"":3,""viewing_time"":13384}]","40184","instructions","0","null","40229","685c6ca90f751d3aae6b1794","685c6e0e8a959c95f091e708","65fb580ab7fbb2d518ee8eaa","","","","","","",""
"","8840","image-button-response","1","null","50089","685c6ca90f751d3aae6b1794","685c6e0e8a959c95f091e708","65fb580ab7fbb2d518ee8eaa","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2317","image-button-response","2","null","52927","685c6ca90f751d3aae6b1794","685c6e0e8a959c95f091e708","65fb580ab7fbb2d518ee8eaa","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","9704","image-button-response","3","null","63146","685c6ca90f751d3aae6b1794","685c6e0e8a959c95f091e708","65fb580ab7fbb2d518ee8eaa","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-014.png","4","Cat","92-014.png"
"","13051","image-button-response","4","null","76713","685c6ca90f751d3aae6b1794","685c6e0e8a959c95f091e708","65fb580ab7fbb2d518ee8eaa","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-015.png","1","Bicycle","60-015.png"
"","9953","image-button-response","5","null","87181","685c6ca90f751d3aae6b1794","685c6e0e8a959c95f091e708","65fb580ab7fbb2d518ee8eaa","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-015.png","11","Watch","25-015.png"
"","4454","image-button-response","6","null","92149","685c6ca90f751d3aae6b1794","685c6e0e8a959c95f091e708","65fb580ab7fbb2d518ee8eaa","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-008.png","10","Tree","67-008.png"
"","2003","image-button-response","7","null","94665","685c6ca90f751d3aae6b1794","685c6e0e8a959c95f091e708","65fb580ab7fbb2d518ee8eaa","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-012.png","10","Tree","106-012.png"
"","2050","image-button-response","8","null","97232","685c6ca90f751d3aae6b1794","685c6e0e8a959c95f091e708","65fb580ab7fbb2d518ee8eaa","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-006.png","11","Watch","67-006.png"
"","4422","image-button-response","9","null","102166","685c6ca90f751d3aae6b1794","685c6e0e8a959c95f091e708","65fb580ab7fbb2d518ee8eaa","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-015.png","1","Bicycle","67-015.png"
"","4269","image-button-response","10","null","106948","685c6ca90f751d3aae6b1794","685c6e0e8a959c95f091e708","65fb580ab7fbb2d518ee8eaa","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-016.png","0","Airplane","60-016.png"
"","3654","image-button-response","11","null","111116","685c6ca90f751d3aae6b1794","685c6e0e8a959c95f091e708","65fb580ab7fbb2d518ee8eaa","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-006.png","8","House","60-006.png"
"","3269","image-button-response","12","null","114898","685c6ca90f751d3aae6b1794","685c6e0e8a959c95f091e708","65fb580ab7fbb2d518ee8eaa","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-010.png","11","Watch","60-010.png"
