"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":43933},{""page_index"":1,""viewing_time"":6085},{""page_index"":2,""viewing_time"":7868},{""page_index"":3,""viewing_time"":9686}]","67573","instructions","0","null","67577","685c6ca90f751d3aae6b1794","685c6e075ebd7bcfe64c3da7","660c0f5e2194f64ac63b0930","","","","","","",""
"","2379","image-button-response","1","null","70963","685c6ca90f751d3aae6b1794","685c6e075ebd7bcfe64c3da7","660c0f5e2194f64ac63b0930","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1796","image-button-response","2","null","73262","685c6ca90f751d3aae6b1794","685c6e075ebd7bcfe64c3da7","660c0f5e2194f64ac63b0930","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","4747","image-button-response","3","null","78512","685c6ca90f751d3aae6b1794","685c6e075ebd7bcfe64c3da7","660c0f5e2194f64ac63b0930","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-005.png","5","Chair","2-005.png"
"","4232","image-button-response","4","null","83247","685c6ca90f751d3aae6b1794","685c6e075ebd7bcfe64c3da7","660c0f5e2194f64ac63b0930","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-009.png","5","Chair","57-009.png"
"","6665","image-button-response","5","null","90415","685c6ca90f751d3aae6b1794","685c6e075ebd7bcfe64c3da7","660c0f5e2194f64ac63b0930","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-015.png","2","Bird","2-015.png"
"","9865","image-button-response","6","null","100783","685c6ca90f751d3aae6b1794","685c6e075ebd7bcfe64c3da7","660c0f5e2194f64ac63b0930","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-014.png","6","Cup","23-014.png"
"","2597","image-button-response","7","null","103884","685c6ca90f751d3aae6b1794","685c6e075ebd7bcfe64c3da7","660c0f5e2194f64ac63b0930","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-011.png","3","Car","23-011.png"
"","5280","image-button-response","8","null","109668","685c6ca90f751d3aae6b1794","685c6e075ebd7bcfe64c3da7","660c0f5e2194f64ac63b0930","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-007.png","2","Bird","64-007.png"
"","3680","image-button-response","9","null","113852","685c6ca90f751d3aae6b1794","685c6e075ebd7bcfe64c3da7","660c0f5e2194f64ac63b0930","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-007.png","6","Cup","2-007.png"
"","5249","image-button-response","10","null","119603","685c6ca90f751d3aae6b1794","685c6e075ebd7bcfe64c3da7","660c0f5e2194f64ac63b0930","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/24-010.png","0","Airplane","24-010.png"
