"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":7778},{""page_index"":1,""viewing_time"":6433},{""page_index"":2,""viewing_time"":5286},{""page_index"":3,""viewing_time"":11251}]","30750","instructions","0","null","30761","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","","","","","","",""
"","2559","image-button-response","1","null","34332","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3860","image-button-response","2","null","38696","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","7759","image-button-response","3","null","46968","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-011.png","2","Bird","56-011.png"
"","7824","image-button-response","4","null","55299","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-008.png","2","Bird","22-008.png"
"","5614","image-button-response","5","null","61430","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-013.png","4","Cat","60-013.png"
"","2763","image-button-response","6","null","64696","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-012.png","6","Cup","62-012.png"
"","3364","image-button-response","7","null","68568","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-010.png","2","Bird","22-010.png"
"","4753","image-button-response","8","null","73830","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-007.png","3","Car","56-007.png"
"","9009","image-button-response","9","null","83344","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-015.png","1","Bicycle","102-015.png"
"","12252","image-button-response","10","null","96104","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-013.png","5","Chair","20-013.png"
"","2086","image-button-response","11","null","98694","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","true","false","airplane","stimuli/catch_trials/0_airplane_catch.jpg","0","Airplane",""
"","6143","image-button-response","12","null","105354","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-005.png","11","Watch","56-005.png"
"","5095","image-button-response","13","null","110952","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-008.png","6","Cup","102-008.png"
"","3741","image-button-response","14","null","115196","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-009.png","3","Car","62-009.png"
"","4322","image-button-response","15","null","120034","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-012.png","4","Cat","102-012.png"
"","6204","image-button-response","16","null","126744","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-012.png","10","Tree","20-012.png"
"","5020","image-button-response","17","null","132275","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-010.png","5","Chair","56-010.png"
"","3302","image-button-response","18","null","136080","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-013.png","2","Bird","102-013.png"
"","6126","image-button-response","19","null","142731","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-009.png","6","Cup","20-009.png"
"","3391","image-button-response","20","null","146627","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-007.png","7","Hat","102-007.png"
"","6267","image-button-response","21","null","153396","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-006.png","1","Bicycle","85-006.png"
"","1952","image-button-response","22","null","155860","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-008.png","1","Bicycle","62-008.png"
"","3160","image-button-response","23","null","159527","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-016.png","10","Tree","62-016.png"
"","2614","image-button-response","24","null","162650","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-006.png","5","Chair","22-006.png"
"","3450","image-button-response","25","null","166616","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-005.png","5","Chair","20-005.png"
"","2120","image-button-response","26","null","169244","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-009.png","3","Car","22-009.png"
"","2613","image-button-response","27","null","172374","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-007.png","2","Bird","85-007.png"
"","4908","image-button-response","28","null","177798","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-006.png","8","House","102-006.png"
"","3090","image-button-response","29","null","181392","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-016.png","8","House","85-016.png"
"","3389","image-button-response","30","null","185297","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-014.png","10","Tree","102-014.png"
"","21725","image-button-response","31","null","207542","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-011.png","0","Airplane","20-011.png"
"","2793","image-button-response","32","null","210840","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-005.png","11","Watch","62-005.png"
"","3161","image-button-response","33","null","214514","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-013.png","0","Airplane","85-013.png"
"","5320","image-button-response","34","null","220350","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-015.png","5","Chair","20-015.png"
"","7943","image-button-response","35","null","228800","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-014.png","7","Hat","56-014.png"
"","5408","image-button-response","36","null","234724","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-016.png","5","Chair","20-016.png"
"","6325","image-button-response","37","null","241556","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-014.png","7","Hat","20-014.png"
"","3827","image-button-response","38","null","245890","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-010.png","5","Chair","102-010.png"
"","3070","image-button-response","39","null","249462","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-011.png","10","Tree","85-011.png"
"","3786","image-button-response","40","null","253753","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-005.png","3","Car","85-005.png"
"","2575","image-button-response","41","null","256840","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-007.png","1","Bicycle","22-007.png"
"","2633","image-button-response","42","null","259988","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-011.png","2","Bird","22-011.png"
"","5366","image-button-response","43","null","265862","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-006.png","4","Cat","62-006.png"
"","3059","image-button-response","44","null","269433","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-005.png","4","Cat","22-005.png"
"","2884","image-button-response","45","null","272837","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/62-007.png","3","Car","62-007.png"
"","6917","image-button-response","46","null","280279","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-008.png","9","Rabbit","20-008.png"
"","4384","image-button-response","47","null","285166","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-015.png","7","Hat","56-015.png"
"","2513","image-button-response","48","null","288184","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-013.png","8","House","22-013.png"
"","11745","image-button-response","49","null","300444","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/20-010.png","9","Rabbit","20-010.png"
"","3675","image-button-response","50","null","304630","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-011.png","3","Car","102-011.png"
"","3592","image-button-response","51","null","308726","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/56-012.png","3","Car","56-012.png"
"","2680","image-button-response","52","null","311928","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-014.png","10","Tree","22-014.png"
"","2881","image-button-response","53","null","315333","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/22-012.png","0","Airplane","22-012.png"
"","6920","image-button-response","54","null","322756","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/102-005.png","9","Rabbit","102-005.png"
"","2992","image-button-response","55","null","326267","685c6ca90f751d3aae6b1794","685c6df629bbdb27d145b1b6","66293ce3dba0764775195e58","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/85-010.png","9","Rabbit","85-010.png"
