"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":5520},{""page_index"":1,""viewing_time"":6265},{""page_index"":2,""viewing_time"":3859},{""page_index"":3,""viewing_time"":8825}]","24471","instructions","0","null","24492","685c6ca90f751d3aae6b1794","685c6e7855450d6363f431ab","662959b221d6790f5548ba36","","","","","","",""
"","2408","image-button-response","1","null","27908","685c6ca90f751d3aae6b1794","685c6e7855450d6363f431ab","662959b221d6790f5548ba36","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1978","image-button-response","2","null","30391","685c6ca90f751d3aae6b1794","685c6e7855450d6363f431ab","662959b221d6790f5548ba36","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","7164","image-button-response","3","null","38057","685c6ca90f751d3aae6b1794","685c6e7855450d6363f431ab","662959b221d6790f5548ba36","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-007.png","0","Airplane","72-007.png"
"","3913","image-button-response","4","null","42474","685c6ca90f751d3aae6b1794","685c6e7855450d6363f431ab","662959b221d6790f5548ba36","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-009.png","3","Car","72-009.png"
"","3663","image-button-response","5","null","46640","685c6ca90f751d3aae6b1794","685c6e7855450d6363f431ab","662959b221d6790f5548ba36","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-007.png","4","Cat","98-007.png"
"","3628","image-button-response","6","null","50772","685c6ca90f751d3aae6b1794","685c6e7855450d6363f431ab","662959b221d6790f5548ba36","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/112-006.png","2","Bird","112-006.png"
"","2264","image-button-response","7","null","53540","685c6ca90f751d3aae6b1794","685c6e7855450d6363f431ab","662959b221d6790f5548ba36","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/98-015.png","6","Cup","98-015.png"
"","3362","image-button-response","8","null","57407","685c6ca90f751d3aae6b1794","685c6e7855450d6363f431ab","662959b221d6790f5548ba36","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/72-006.png","10","Tree","72-006.png"
"","5929","image-button-response","9","null","63839","685c6ca90f751d3aae6b1794","685c6e7855450d6363f431ab","662959b221d6790f5548ba36","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-016.png","3","Car","74-016.png"
"","6965","image-button-response","10","null","71306","685c6ca90f751d3aae6b1794","685c6e7855450d6363f431ab","662959b221d6790f5548ba36","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/31-012.png","7","Hat","31-012.png"
