"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":554591},{""page_index"":1,""viewing_time"":1574},{""page_index"":2,""viewing_time"":1465},{""page_index"":3,""viewing_time"":2059}]","559691","instructions","0","null","559718","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","","","","","","",""
"","6889","image-button-response","1","null","567614","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2967","image-button-response","2","null","571085","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","8870","image-button-response","3","null","580462","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-005.png","0","Airplane","75-005.png"
"","16654","image-button-response","4","null","597620","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-005.png","0","Airplane","42-005.png"
"","13614","image-button-response","5","null","611739","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-013.png","7","Hat","14-013.png"
"","9452","image-button-response","6","null","621709","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/43-007.png","3","Car","43-007.png"
"","3673","image-button-response","7","null","625885","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-008.png","6","Cup","114-008.png"
"","20507","image-button-response","8","null","646897","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-012.png","11","Watch","33-012.png"
"","3592","image-button-response","9","null","650994","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-013.png","10","Tree","41-013.png"
"","3264","image-button-response","10","null","654763","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-010.png","5","Chair","114-010.png"
"","16634","image-button-response","11","null","671902","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-007.png","11","Watch","32-007.png"
"","7874","image-button-response","12","null","680280","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/100-015.png","4","Cat","100-015.png"
"","5494","image-button-response","13","null","686278","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-011.png","11","Watch","74-011.png"
"","3434","image-button-response","14","null","690216","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/114-012.png","3","Car","114-012.png"
"","2407","image-button-response","15","null","693128","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/81-005.png","3","Car","81-005.png"
"","3873","image-button-response","16","null","697505","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/13-014.png","11","Watch","13-014.png"
"","6321","image-button-response","17","null","704331","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-006.png","11","Watch","33-006.png"
"","4562","image-button-response","18","null","709397","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-008.png","10","Tree","99-008.png"
"","3676","image-button-response","19","null","713577","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/42-014.png","6","Cup","42-014.png"
"","2502","image-button-response","20","null","716583","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/12-013.png","7","Hat","12-013.png"
"","5631","image-button-response","21","null","722718","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/113-005.png","11","Watch","113-005.png"
"","2113","image-button-response","22","null","725336","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/41-014.png","11","Watch","41-014.png"
"","4882","image-button-response","23","null","730721","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-008.png","1","Bicycle","115-008.png"
"","4245","image-button-response","24","null","735479","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/75-014.png","4","Cat","75-014.png"
"","10545","image-button-response","25","null","746528","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/99-015.png","5","Chair","99-015.png"
"","8557","image-button-response","26","null","755588","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/33-008.png","6","Cup","33-008.png"
"","7208","image-button-response","27","null","763300","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-014.png","6","Cup","14-014.png"
"","3789","image-button-response","28","null","767593","685c6ca90f751d3aae6b1794","685c6e6912fffbbec28ae072","662d0e2441cfa56ee3b70fa8","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/73-013.png","8","House","73-013.png"
