"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":14370},{""page_index"":1,""viewing_time"":5323},{""page_index"":2,""viewing_time"":8580},{""page_index"":3,""viewing_time"":22521}]","50795","instructions","0","null","50814","685c6ca90f751d3aae6b1794","685c6e275ef28f88140e11e1","6630f0ba3c7dd0308672336a","","","","","","",""
"","3796","image-button-response","1","null","55636","685c6ca90f751d3aae6b1794","685c6e275ef28f88140e11e1","6630f0ba3c7dd0308672336a","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","3652","image-button-response","2","null","59798","685c6ca90f751d3aae6b1794","685c6e275ef28f88140e11e1","6630f0ba3c7dd0308672336a","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","14259","image-button-response","3","null","74560","685c6ca90f751d3aae6b1794","685c6e275ef28f88140e11e1","6630f0ba3c7dd0308672336a","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-008.png","3","Car","117-008.png"
"","4343","image-button-response","4","null","79417","685c6ca90f751d3aae6b1794","685c6e275ef28f88140e11e1","6630f0ba3c7dd0308672336a","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/116-013.png","5","Chair","116-013.png"
"","55134","image-button-response","5","null","135059","685c6ca90f751d3aae6b1794","685c6e275ef28f88140e11e1","6630f0ba3c7dd0308672336a","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-016.png","2","Bird","35-016.png"
"","14187","image-button-response","6","null","149760","685c6ca90f751d3aae6b1794","685c6e275ef28f88140e11e1","6630f0ba3c7dd0308672336a","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/117-009.png","4","Cat","117-009.png"
"","35028","image-button-response","7","null","185292","685c6ca90f751d3aae6b1794","685c6e275ef28f88140e11e1","6630f0ba3c7dd0308672336a","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/14-005.png","2","Bird","14-005.png"
"","4203","image-button-response","8","null","190005","685c6ca90f751d3aae6b1794","685c6e275ef28f88140e11e1","6630f0ba3c7dd0308672336a","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/36-008.png","6","Cup","36-008.png"
"","19703","image-button-response","9","null","210220","685c6ca90f751d3aae6b1794","685c6e275ef28f88140e11e1","6630f0ba3c7dd0308672336a","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/35-013.png","7","Hat","35-013.png"
