"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":10552},{""page_index"":1,""viewing_time"":5108},{""page_index"":2,""viewing_time"":4920},{""page_index"":3,""viewing_time"":22709}]","43289","instructions","0","null","43295","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","","","","","","",""
"","3843","image-button-response","1","null","48147","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2139","image-button-response","2","null","50788","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","8623","image-button-response","3","null","59914","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-016.png","3","Car","106-016.png"
"","16144","image-button-response","4","null","76562","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-015.png","10","Tree","92-015.png"
"","20768","image-button-response","5","null","97834","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-016.png","10","Tree","25-016.png"
"","6365","image-button-response","6","null","104700","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-007.png","6","Cup","60-007.png"
"","14818","image-button-response","7","null","120022","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-014.png","5","Chair","5-014.png"
"","15643","image-button-response","8","null","136168","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-009.png","5","Chair","92-009.png"
"","8288","image-button-response","9","null","144958","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/25-007.png","0","Airplane","25-007.png"
"","3335","image-button-response","10","null","148796","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-008.png","2","Bird","60-008.png"
"","16793","image-button-response","11","null","166092","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-016.png","4","Cat","92-016.png"
"","14229","image-button-response","12","null","180823","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-007.png","0","Airplane","92-007.png"
"","4153","image-button-response","13","null","185480","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-005.png","3","Car","67-005.png"
"","8187","image-button-response","14","null","194170","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Chair","https://kisumu-drawings.s3-us-west-1.amazonaws.com/60-011.png","5","Chair","60-011.png"
"","4151","image-button-response","15","null","198824","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/92-013.png","8","House","92-013.png"
"","8869","image-button-response","16","null","208194","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-011.png","4","Cat","5-011.png"
"","3016","image-button-response","17","null","211712","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/107-011.png","11","Watch","107-011.png"
"","2070","image-button-response","18","null","214284","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/67-014.png","0","Airplane","67-014.png"
"","15590","image-button-response","19","null","230377","685c6ca90f751d3aae6b1794","685c6e21cfa043a537858f21","663e26ccdbc470527165388b","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/5-015.png","2","Bird","5-015.png"
