"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":13228},{""page_index"":1,""viewing_time"":2651},{""page_index"":2,""viewing_time"":2988},{""page_index"":3,""viewing_time"":26307}]","45174","instructions","0","null","45180","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","","","","","","",""
"","4968","image-button-response","1","null","51164","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","1425","image-button-response","2","null","53105","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","5583","image-button-response","3","null","59196","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-007.png","7","Hat","57-007.png"
"","2761","image-button-response","4","null","62460","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-008.png","8","House","2-008.png"
"","25511","image-button-response","5","null","88473","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-011.png","1","Bicycle","23-011.png"
"","3892","image-button-response","6","null","92878","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-011.png","1","Bicycle","57-011.png"
"","3250","image-button-response","7","null","96641","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/57-016.png","4","Cat","57-016.png"
"","2788","image-button-response","8","null","99935","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-009.png","7","Hat","103-009.png"
"","21906","image-button-response","9","null","122357","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Bird","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-010.png","6","Cup","23-010.png"
"","11983","image-button-response","10","null","134844","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Rabbit","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-016.png","4","Cat","89-016.png"
"","12770","image-button-response","11","null","148130","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-011.png","1","Bicycle","2-011.png"
"","3729","image-button-response","12","null","152370","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-006.png","4","Cat","64-006.png"
"","3927","image-button-response","13","null","156809","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-008.png","6","Cup","89-008.png"
"","3875","image-button-response","14","null","161196","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-013.png","7","Hat","64-013.png"
"","12085","image-button-response","15","null","173783","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-010.png","10","Tree","64-010.png"
"","2847","image-button-response","16","null","177137","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/64-009.png","11","Watch","64-009.png"
"","20636","image-button-response","17","null","198274","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/89-005.png","8","House","89-005.png"
"","3630","image-button-response","18","null","202413","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/23-006.png","7","Hat","23-006.png"
"","6050","image-button-response","19","null","208972","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/2-015.png","7","Hat","2-015.png"
"","2628","image-button-response","20","null","212112","685c6ca90f751d3aae6b1794","685c6e0e12dd7eefe44d8bee","664c4db73e21a54a4f9bb02d","false","false","House","https://kisumu-drawings.s3-us-west-1.amazonaws.com/103-010.png","8","House","103-010.png"
