"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":6642},{""page_index"":1,""viewing_time"":10544},{""page_index"":2,""viewing_time"":4204},{""page_index"":3,""viewing_time"":11977}]","33367","instructions","0","null","33379","685c6ca90f751d3aae6b1794","685c72cb89f3b16f64fd1fc4","664e2d4a26686cecdfd660eb","","","","","","",""
"","3443","image-button-response","1","null","37832","685c6ca90f751d3aae6b1794","685c72cb89f3b16f64fd1fc4","664e2d4a26686cecdfd660eb","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2524","image-button-response","2","null","40861","685c6ca90f751d3aae6b1794","685c72cb89f3b16f64fd1fc4","664e2d4a26686cecdfd660eb","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","11379","image-button-response","3","null","52745","685c6ca90f751d3aae6b1794","685c72cb89f3b16f64fd1fc4","664e2d4a26686cecdfd660eb","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-014.png","1","Bicycle","74-014.png"
"","4240","image-button-response","4","null","57489","685c6ca90f751d3aae6b1794","685c72cb89f3b16f64fd1fc4","664e2d4a26686cecdfd660eb","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-010.png","0","Airplane","118-010.png"
"","4214","image-button-response","5","null","62207","685c6ca90f751d3aae6b1794","685c72cb89f3b16f64fd1fc4","664e2d4a26686cecdfd660eb","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/78-011.png","6","Cup","78-011.png"
"","5824","image-button-response","6","null","68536","685c6ca90f751d3aae6b1794","685c72cb89f3b16f64fd1fc4","664e2d4a26686cecdfd660eb","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/106-005.png","4","Cat","106-005.png"
"","3765","image-button-response","7","null","72805","685c6ca90f751d3aae6b1794","685c72cb89f3b16f64fd1fc4","664e2d4a26686cecdfd660eb","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/88-016.png","3","Car","88-016.png"
"","3977","image-button-response","8","null","77287","685c6ca90f751d3aae6b1794","685c72cb89f3b16f64fd1fc4","664e2d4a26686cecdfd660eb","false","false","Tree","https://kisumu-drawings.s3-us-west-1.amazonaws.com/74-010.png","10","Tree","74-010.png"
"","6780","image-button-response","9","null","84572","685c6ca90f751d3aae6b1794","685c72cb89f3b16f64fd1fc4","664e2d4a26686cecdfd660eb","false","false","Bicycle","https://kisumu-drawings.s3-us-west-1.amazonaws.com/32-009.png","1","Bicycle","32-009.png"
