"view_history","rt","trial_type","trial_index","plugin_version","time_elapsed","study_id","session_id","participant_id","catch_trial","prep_trial","sketcher_category","stimulus","response","response_category","sketch_id"
"[{""page_index"":0,""viewing_time"":8188},{""page_index"":1,""viewing_time"":4575},{""page_index"":2,""viewing_time"":4492},{""page_index"":3,""viewing_time"":12456}]","29711","instructions","0","null","29729","685c6ca90f751d3aae6b1794","685c6f4d6d7585f98e479539","6652b5685b982e914af63507","","","","","","",""
"","3886","image-button-response","1","null","34625","685c6ca90f751d3aae6b1794","685c6f4d6d7585f98e479539","6652b5685b982e914af63507","false","true","car","stimuli/prep_trials/1_car_prep.png","3","Car",""
"","2315","image-button-response","2","null","37443","685c6ca90f751d3aae6b1794","685c6f4d6d7585f98e479539","6652b5685b982e914af63507","false","true","cat","stimuli/prep_trials/0_cat_prep.jpg","4","Cat",""
"","11531","image-button-response","3","null","49483","685c6ca90f751d3aae6b1794","685c6f4d6d7585f98e479539","6652b5685b982e914af63507","false","false","Watch","https://kisumu-drawings.s3-us-west-1.amazonaws.com/115-011.png","11","Watch","115-011.png"
"","5348","image-button-response","4","null","55337","685c6ca90f751d3aae6b1794","685c6f4d6d7585f98e479539","6652b5685b982e914af63507","false","false","Cup","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-015.png","6","Cup","118-015.png"
"","4188","image-button-response","5","null","60039","685c6ca90f751d3aae6b1794","685c6f4d6d7585f98e479539","6652b5685b982e914af63507","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/48-011.png","2","Bird","48-011.png"
"","4503","image-button-response","6","null","65058","685c6ca90f751d3aae6b1794","685c6f4d6d7585f98e479539","6652b5685b982e914af63507","false","false","Car","https://kisumu-drawings.s3-us-west-1.amazonaws.com/87-008.png","3","Car","87-008.png"
"","4018","image-button-response","7","null","69589","685c6ca90f751d3aae6b1794","685c6f4d6d7585f98e479539","6652b5685b982e914af63507","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/80-009.png","0","Airplane","80-009.png"
"","6012","image-button-response","8","null","76117","685c6ca90f751d3aae6b1794","685c6f4d6d7585f98e479539","6652b5685b982e914af63507","false","false","Airplane","https://kisumu-drawings.s3-us-west-1.amazonaws.com/47-016.png","2","Bird","47-016.png"
"","8146","image-button-response","9","null","84768","685c6ca90f751d3aae6b1794","685c6f4d6d7585f98e479539","6652b5685b982e914af63507","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/120-015.png","2","Bird","120-015.png"
"","10234","image-button-response","10","null","95506","685c6ca90f751d3aae6b1794","685c6f4d6d7585f98e479539","6652b5685b982e914af63507","false","false","Hat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/118-016.png","7","Hat","118-016.png"
"","15285","image-button-response","11","null","111293","685c6ca90f751d3aae6b1794","685c6f4d6d7585f98e479539","6652b5685b982e914af63507","false","false","Cat","https://kisumu-drawings.s3-us-west-1.amazonaws.com/79-009.png","4","Cat","79-009.png"
